client#,Round#,Training Loss,ACC,Pre,Recall,f1-score
1,1,2.2866056,0.11611111111111111,0.12642422613399057,0.11375989159599871,0.08067165960692299
2,1,2.288458,0.12962962962962962,0.13362015911373695,0.1263340778153802,0.10972772510537691
3,1,2.2820144,0.10203703703703704,0.15519301430552473,0.10043715499034053,0.06890067893138443
4,1,2.271443,0.1562962962962963,0.15884360321305896,0.156497506486952,0.12771725176482418
5,1,2.282475,0.1187037037037037,0.19883145813930833,0.1133358757550302,0.05570124679047119
6,1,2.289691,0.12240740740740741,0.1749542566429969,0.12487303693504422,0.08787159466184577
7,1,2.277344,0.13796296296296295,0.16115254446020372,0.13573049888988925,0.11694051856891371
8,1,2.2788708,0.13944444444444445,0.18084519731619836,0.13677375474731807,0.1123699548596541
9,1,2.2817862,0.14074074074074075,0.11246655966879202,0.1405228176313179,0.10369484203627014
10,1,2.270911,0.1514814814814815,0.16443916450894064,0.15217548880959364,0.1041842264671978
1,2,2.2593422,0.1787037037037037,0.1984610892659224,0.17704192145969633,0.1304921247529099
2,2,2.2782712,0.15333333333333332,0.14612311436295727,0.1508406427016273,0.11793841747401286
3,2,2.256668,0.18166666666666667,0.19783905418688666,0.17957058821906188,0.1398005374800074
4,2,2.2455928,0.18481481481481482,0.20717783918138996,0.18571477030624756,0.15411166091653117
5,2,2.2591164,0.14888888888888888,0.25307048075377125,0.14622900563198488,0.10509359679567405
6,2,2.270493,0.15555555555555556,0.14348193984417965,0.15628365778650052,0.13623164808301996
7,2,2.2533336,0.16185185185185186,0.2149228589645013,0.16221335223170738,0.11765417492325872
8,2,2.2650928,0.14907407407407408,0.18564159297240942,0.14773968175300542,0.12524156403637934
9,2,2.2497232,0.16962962962962963,0.19184031343502833,0.1701651492556126,0.15149108108947856
10,2,2.2681768,0.17444444444444446,0.18165977662499017,0.17218207214299153,0.13683798451149243
1,3,2.2468424,0.18222222222222223,0.18711424665450668,0.1784881795127659,0.15298733429587916
2,3,2.2361317,0.17462962962962963,0.23372528936334486,0.1715734731528562,0.13756205529292362
3,3,2.242524,0.18592592592592594,0.20044197015129592,0.18430256989664642,0.15375790063186384
4,3,2.2335544,0.18722222222222223,0.20088737623515335,0.18652244853088032,0.15744062666593023
5,3,2.2166064,0.22111111111111112,0.2732991750294064,0.21636738867865937,0.18357026199171392
6,3,2.23625,0.18611111111111112,0.21578612391039975,0.18856479009063776,0.15531798182770343
