Round#,Training Loss,ACC,Pre,recall,f1-score
1,2.2834156,0.12376,0.16401600425121746,0.12376000000000001,0.0936556731282645
2,2.2594478,0.1788,0.20529260129383092,0.17880000000000001,0.15367826567820414
3,2.232221,0.20884,0.2360273538197521,0.20884,0.17897341659845245
4,2.2036018,0.23272,0.2512378738923123,0.23272000000000004,0.2070665875813853
5,2.16985,0.24596,0.26922527015603237,0.24596,0.21353290269916197
6,2.132018,0.25898,0.27816143668909044,0.25898,0.22911424870532562
7,2.0991378,0.27322,0.28375383973515184,0.27321999999999996,0.25003292928448356
8,2.0659022,0.28526,0.2953209282774335,0.28525999999999996,0.25706573976479213
9,2.033298,0.29504,0.30699928248028363,0.29504,0.2663456345417175
10,2.006866,0.307,0.3080585337196477,0.307,0.28232998754674365
11,1.9849414,0.31118,0.3168849522753324,0.31118,0.2904296307140622
12,1.9602678,0.32644,0.32379914454570036,0.32644,0.3073561264424869
13,1.9413166,0.32908,0.3290347496397302,0.32908,0.30614696579517087
14,1.9214113,0.33528,0.3345595844213288,0.33527999999999997,0.3136157240949843
15,1.9072558,0.33938,0.33583888679511065,0.33937999999999996,0.31945791336320195
16,1.8944513,0.34394,0.3408644744153204,0.34394,0.3273313789568306
17,1.8800564,0.34724,0.34221452624222076,0.34724000000000005,0.3330409624969493
18,1.8657628,0.35006,0.3456026319332527,0.35006,0.3350191560593623
19,1.8578236,0.35278,0.34610182127002653,0.35278,0.3362549713603506
20,1.8502215,0.3541,0.34889365637572844,0.35409999999999997,0.33732380195608774
21,1.8361795,0.35632,0.3527412810915568,0.35631999999999997,0.33956749556095334
22,1.8288853,0.3615,0.35702613204550454,0.36150000000000004,0.3491105316401713
23,1.8181307,0.36466,0.358944348421613,0.36466,0.3503165514930118
24,1.8084986,0.37042,0.3667126578872924,0.37042,0.3594920235916014
25,1.8020225,0.37344,0.36616166577344733,0.37343999999999994,0.36343301793665667
26,1.79464,0.37368,0.3680843529817832,0.37368,0.36156033152053235
27,1.7880677,0.37436,0.37207397110304685,0.37436,0.36031503980391005
28,1.7798485,0.3804,0.3765567964587844,0.38039999999999996,0.36881652870568216
29,1.7739289,0.3829,0.37915618965607917,0.3829,0.37097306241674166
30,1.7661499,0.3879,0.38209127208479504,0.3879,0.3772160947284938
31,1.7591478,0.38668,0.38110576618760583,0.38668,0.3756988611160286
32,1.7514979,0.38922,0.38264506909669416,0.38922,0.38012561773163933
33,1.7450114,0.39306,0.386684374291385,0.39306,0.3849807322080413
34,1.741398,0.39424,0.38738316215251867,0.39424000000000003,0.3834110595081889
35,1.731554,0.39704,0.3915662323926984,0.39704,0.3874828889785351
36,1.7258958,0.39934,0.3947207623625898,0.39934000000000003,0.3890539996342762
37,1.7178731,0.4043,0.39746176853905346,0.4043,0.3961394201227365
38,1.713573,0.40728,0.4023989233673756,0.40728,0.39856687799434787
39,1.7062645,0.40862,0.4027344285746187,0.40862,0.39961440576631724
40,1.702098,0.41108,0.4049613910337027,0.41108,0.40101986728893363
41,1.6960897,0.4116,0.40412221571902507,0.41159999999999997,0.40181577027008714
42,1.6935947,0.41276,0.4078596114775584,0.41276,0.4039397328698363
43,1.6860949,0.41394,0.40699391562305215,0.41394000000000003,0.4055120362185912
44,1.6818347,0.41482,0.40917043327519914,0.41482,0.4078060609215813
45,1.6749003,0.41778,0.4126653238216533,0.41778000000000004,0.4103371589499735
46,1.6667346,0.42198,0.416205478084722,0.42198,0.4147672204073111
47,1.6634026,0.42226,0.4163608745286429,0.42225999999999997,0.4147144679390757
48,1.6580176,0.42432,0.4225067267622952,0.42432,0.4188408741588738
49,1.6521095,0.42578,0.4208614438743511,0.42578000000000005,0.41878628990121924
50,1.6464804,0.4277,0.4220085501305726,0.4277,0.4213781205508482
51,1.6427577,0.42778,0.4224479084072403,0.42778,0.42171421819211813
52,1.640912,0.4272,0.42219735364824534,0.4272,0.4193582407687123
53,1.6362913,0.43012,0.42454513259941085,0.43011999999999995,0.42421060087898255
54,1.6306387,0.43036,0.42467384563655414,0.43036,0.42291520744830785
55,1.6287014,0.43378,0.4278952409303784,0.43378000000000005,0.4276809981694717
56,1.6222391,0.43358,0.42770858870741,0.43357999999999997,0.4267279590545961
57,1.6193688,0.43472,0.4275382424915978,0.43472,0.42687922964667485
58,1.6149987,0.43574,0.42944536255396004,0.43574,0.4294886492729854
59,1.61178,0.43726,0.430722196789059,0.43726000000000004,0.42970653973521955
60,1.6090769,0.43632,0.4309224289602437,0.43632,0.42865856065156527
61,1.6018703,0.4361,0.4305086685994353,0.4361,0.42849580551159255
62,1.5993942,0.43992,0.43353467279639923,0.43992,0.432936045110881
63,1.5925332,0.44312,0.4374252963728302,0.44312000000000007,0.4367844263697829
64,1.5867473,0.44296,0.4367413363291178,0.44295999999999996,0.437028545713355
65,1.5794665,0.44716,0.4410996706281988,0.44716000000000006,0.44113417594058857
66,1.5740047,0.44838,0.44314283643452657,0.44837999999999995,0.443417863149853
67,1.5708818,0.44874,0.44397518945499553,0.44874,0.4429812920437982
68,1.566612,0.4494,0.443884359214821,0.44939999999999997,0.44424388582796814
69,1.5642792,0.44874,0.4437753792501713,0.44874,0.4420268181188113
70,1.5615301,0.45068,0.4442130532458751,0.45068,0.44443042890666984
71,1.556768,0.45164,0.4468554843273087,0.45164,0.4467051692622414
72,1.5550637,0.45292,0.4450873728207637,0.45291999999999993,0.446283212234606
73,1.5486526,0.4529,0.4471232134320794,0.45289999999999997,0.44716910292778456
74,1.5432874,0.4534,0.4476799910222319,0.45339999999999997,0.44647654015160415
75,1.5397694,0.45498,0.44794668411530125,0.45497999999999994,0.44768254137468155
76,1.5367669,0.45602,0.4497324559292892,0.45602,0.4495021443677308
77,1.533546,0.45682,0.4521315088869605,0.45682,0.45145232247019484
