Round#,Training Loss,ACC,Pre,recall,f1-score
1,1.3003798,0.7558,0.795161807,0.7558,0.752636371
2,0.90515726,0.8744,0.876270254,0.8744,0.874566073
3,0.7764164,0.82394,0.822885408,0.82394,0.82234462
4,0.6724139,0.91436,0.914038264,0.91436,0.912792716
5,0.59073966,0.91436,0.914038264,0.91436,0.912792716
6,0.5230825,0.91436,0.914038264,0.91436,0.912792716
7,0.45240903,0.95576,0.955529377,0.95576,0.954872418
8,0.3934354,0.95576,0.955529377,0.95576,0.954872418
9,0.33904582,0.97562,0.975526617,0.97562,0.975188468
10,0.28817236,0.97994,0.97994848,0.97994,0.979936405
11,0.25424012,0.97994,0.97994848,0.97994,0.979936405
12,0.2101554,0.97994,0.97994848,0.97994,0.979936405
13,0.17818962,0.97994,0.97994848,0.97994,0.979936405
14,0.15459583,0.97994,0.97994848,0.97994,0.979936405
15,0.13163548,0.97994,0.97994848,0.97994,0.979936405
16,0.112959374,0.97994,0.97994848,0.97994,0.979936405
17,0.09184067,0.97994,0.97994848,0.97994,0.979936405
18,0.08098533,0.97994,0.97994848,0.97994,0.979936405
19,0.06472743,0.97994,0.97994848,0.97994,0.979936405
20,0.057665262,0.97994,0.97994848,0.97994,0.979936405
21,0.04746964,0.97994,0.97994848,0.97994,0.979936405
22,0.03880124,0.97994,0.97994848,0.97994,0.979936405
23,0.0350958,0.98098,0.980999805,0.98098,0.98097721
24,0.02867021,0.98314,0.983149341,0.98314,0.983137969
25,0.024158876,0.98474,0.984747636,0.98474,0.984739688
26,0.020801654,0.98572,0.985723648,0.98572,0.985720318
27,0.017752148,0.98696,0.986962565,0.98696,0.986960092
28,0.015911333,0.98756,0.987560586,0.98756,0.987560019
29,0.011714044,0.98826,0.988261691,0.98826,0.988260179
30,0.011076838,0.9886,0.988601421,0.9886,0.988600191
31,0.010329351,0.98862,0.988621291,0.98862,0.988620171
32,0.008430468,0.9891,0.989100339,0.9891,0.98910001
33,0.007570106,0.9891,0.989100766,0.9891,0.98910002
34,0.00693195,0.98924,0.989240527,0.98924,0.98924004
35,0.006221946,0.98946,0.989460303,0.98946,0.989459984
36,0.004858196,0.98966,0.98966004,0.98966,0.989659988
37,0.004953295,0.9895,0.989500375,0.9895,0.989499992
38,0.004238128,0.98966,0.989660072,0.98966,0.98966
39,0.003904135,0.98968,0.989680088,0.98968,0.989679998
40,0.003899604,0.98974,0.98974008,0.98974,0.989740004
41,0.003362646,0.9898,0.989800044,0.9898,0.989799994
42,0.003296528,0.9897,0.9897001,0.9897,0.989700008
43,0.003043118,0.98978,0.989780048,0.98978,0.989780002
44,0.00288871,0.98982,0.989820024,0.98982,0.989819998
45,0.002999995,0.9898,0.989800028,0.9898,0.989800002
46,0.002315832,0.9898,0.989800052,0.9898,0.9898
47,0.002313364,0.98984,0.989840012,0.98984,0.98984
48,0.002264413,0.98984,0.989840036,0.98984,0.98984
49,0.002079235,0.98978,0.98978004,0.98978,0.98978
50,0.001919334,0.98986,0.989860004,0.98986,0.98986
51,0.001969466,0.98986,0.989860016,0.98986,0.98986
52,0.001866066,0.98984,0.989840036,0.98984,0.98984
53,0.001763499,0.98986,0.989860016,0.98986,0.98986
54,0.001845009,0.98986,0.989860016,0.98986,0.98986
55,0.001734573,0.98986,0.989860016,0.98986,0.98986
56,0.001644792,0.98986,0.989860016,0.98986,0.98986
57,0.001689954,0.98988,0.989880004,0.98988,0.98988
58,0.001423509,0.98988,0.989880004,0.98988,0.98988
59,0.001540078,0.98988,0.989880004,0.98988,0.98988
60,0.001482294,0.98988,0.989880004,0.98988,0.98988
61,0.001425428,0.98988,0.989880004,0.98988,0.98988
62,0.001422403,0.9899,0.9899,0.9899,0.9899
63,0.001432513,0.9899,0.9899,0.9899,0.9899
64,0.00140035,0.9899,0.9899,0.9899,0.9899
65,0.001420993,0.9899,0.9899,0.9899,0.9899
66,0.001341995,0.9899,0.9899,0.9899,0.9899
67,0.001350046,0.9899,0.9899,0.9899,0.9899
68,0.001329388,0.9899,0.9899,0.9899,0.9899
69,0.00129325,0.9899,0.9899,0.9899,0.9899
70,0.001288268,0.9899,0.9899,0.9899,0.9899
71,0.00128082,0.9899,0.9899,0.9899,0.9899
72,0.001334624,0.9899,0.9899,0.9899,0.9899
73,0.001286669,0.9899,0.9899,0.9899,0.9899
74,0.001229246,0.9899,0.9899,0.9899,0.9899
75,0.001263052,0.9899,0.9899,0.9899,0.9899
76,0.001210342,0.9899,0.9899,0.9899,0.9899
77,0.001224854,0.9899,0.9899,0.9899,0.9899
78,0.001200457,0.9899,0.9899,0.9899,0.9899
79,0.001205481,0.9899,0.9899,0.9899,0.9899
80,0.00120577,0.9899,0.9899,0.9899,0.9899
81,0.00120022,0.9899,0.9899,0.9899,0.9899
82,1.19E-03,0.9899,0.9899,0.9899,0.9899
83,1.17E-03,0.9899,0.9899,0.9899,0.9899
84,1.18E-03,0.9899,0.9899,0.9899,0.9899
85,1.16E-03,0.9899,0.9899,0.9899,0.9899
86,1.17E-03,0.9899,0.9899,0.9899,0.9899
87,1.16E-03,0.9899,0.9899,0.9899,0.9899
88,1.18E-03,0.98988,0.989880004,0.98988,0.98988
89,1.17E-03,0.9899,0.9899,0.9899,0.9899
90,1.16E-03,0.9899,0.9899,0.9899,0.9899
91,1.16E-03,0.9899,0.9899,0.9899,0.9899
92,1.16E-03,0.9899,0.9899,0.9899,0.9899
93,1.15E-03,0.9899,0.9899,0.9899,0.9899
94,1.16E-03,0.9899,0.9899,0.9899,0.9899
95,1.16E-03,0.9899,0.9899,0.9899,0.9899
96,1.15E-03,0.9899,0.9899,0.9899,0.9899
97,1.15E-03,0.9899,0.9899,0.9899,0.9899
98,1.15E-03,0.9899,0.9899,0.9899,0.9899
99,1.13E-03,0.9899,0.9899,0.9899,0.9899
