Round#,Training Loss,ACC,Pre,recall,f1-score
1,2.265563,0.17392,0.178729451,0.17392,0.150587446
2,2.2198582,0.2138,0.214203213,0.2138,0.201169171
3,2.1700132,0.2342,0.241663069,0.2342,0.22041312
4,2.129729,0.23622,0.264334668,0.23622,0.210941376
5,2.0837767,0.262,0.269873759,0.262,0.242805592
6,2.0515287,0.27272,0.280706888,0.27272,0.252556788
7,2.020851,0.28244,0.289212592,0.28244,0.264370024
8,1.9894134,0.29776,0.29554979,0.29776,0.284540303
9,1.9791054,0.29686,0.304597642,0.29686,0.287102243
10,1.9522107,0.30994,0.303955364,0.30994,0.298401235
11,1.9318753,0.31728,0.308916981,0.31728,0.305849252
12,1.9122638,0.32426,0.317432604,0.32426,0.315590083
13,1.9000754,0.3281,0.324097224,0.3281,0.31889811
14,1.8903139,0.33028,0.327844958,0.33028,0.319355077
15,1.8818561,0.33232,0.329530304,0.33232,0.320686334
16,1.8734043,0.33206,0.32795129,0.33206,0.318978495
17,1.855919,0.3385,0.333451202,0.3385,0.322926684
18,1.8444458,0.34374,0.336636862,0.34374,0.330775925
19,1.8346475,0.34752,0.339862611,0.34752,0.329816364
20,1.8344986,0.348,0.341420691,0.348,0.333858788
21,1.8319367,0.3492,0.34146518,0.3492,0.33685392
22,1.8283619,0.35076,0.349704485,0.35076,0.336192811
23,1.8108861,0.35554,0.351626511,0.35554,0.342964499
24,1.8063128,0.3607,0.358486081,0.3607,0.349030498
25,1.8037505,0.36544,0.361853848,0.36544,0.356233065
26,1.7880678,0.36866,0.367386713,0.36866,0.358704422
27,1.7956828,0.36608,0.362835187,0.36608,0.354416343
28,1.7887825,0.37112,0.367860868,0.37112,0.36035524
29,1.7889125,0.37066,0.369862277,0.37066,0.363752974
30,1.773798,0.3753,0.371554261,0.3753,0.364279196
31,1.7668322,0.3755,0.371618369,0.3755,0.365356984
32,1.7597841,0.38082,0.376400967,0.38082,0.374716984
33,1.7567041,0.38142,0.375180156,0.38142,0.373604478
34,1.7519325,0.38202,0.37670885,0.38202,0.372096783
35,1.7388039,0.38622,0.384548853,0.38622,0.377426089
36,1.7410495,0.38912,0.385513238,0.38912,0.381038761
37,1.7500421,0.39054,0.388391505,0.39054,0.378394977
38,1.7380209,0.39356,0.390514573,0.39356,0.385767054
39,1.7356482,0.39276,0.389287902,0.39276,0.385486001
40,1.7381426,0.3955,0.390292861,0.3955,0.388079132
41,1.7335484,0.39494,0.392174669,0.39494,0.387333631
42,1.7364627,0.39458,0.389750102,0.39458,0.385015291
43,1.74326,0.39528,0.390565386,0.39528,0.387729091
44,1.7251208,0.39804,0.391344805,0.39804,0.387825797
45,1.7215962,0.40084,0.396197966,0.40084,0.394381532
46,1.7184439,0.39972,0.394700263,0.39972,0.391504564
47,1.7247654,0.40112,0.3979221,0.40112,0.393688605
48,1.7112681,0.40676,0.403225397,0.40676,0.39878861
49,1.7118076,0.40658,0.405717092,0.40658,0.397816832
50,1.7044315,0.40762,0.402528051,0.40762,0.398937985
51,1.7151252,0.40704,0.401994985,0.40704,0.398022134
52,1.7007179,0.40956,0.405760016,0.40956,0.400858967
53,1.694255,0.41268,0.407929567,0.41268,0.40475085
54,1.693626,0.41264,0.408088436,0.41264,0.403889092
55,1.6878469,0.41396,0.409143173,0.41396,0.407858661
56,1.6964461,0.41536,0.413119637,0.41536,0.406454166
57,1.6884599,0.41924,0.412610231,0.41924,0.412258334
58,1.695487,0.41596,0.408997842,0.41596,0.40489093
59,1.686026,0.42084,0.41340411,0.42084,0.413393988
60,1.7175517,0.41898,0.413900465,0.41898,0.411158242
61,1.6938027,0.42196,0.416790485,0.42196,0.41401392
62,1.6935571,0.42128,0.414734811,0.42128,0.410776669
63,1.6863631,0.42168,0.415688096,0.42168,0.414937839
64,1.703589,0.42336,0.416454818,0.42336,0.414993386
65,1.6872478,0.42562,0.419964801,0.42562,0.418181795
66,1.6897268,0.42618,0.420465776,0.42618,0.418004118
67,1.6865938,0.4258,0.421041435,0.4258,0.419250714
68,1.6973118,0.42474,0.420463485,0.42474,0.418865147
69,1.6970278,0.42862,0.423008103,0.42862,0.422433684
70,1.6996694,0.42856,0.424147265,0.42856,0.42147741
71,1.6913114,0.42752,0.426153298,0.42752,0.422776383
72,1.6912771,0.42728,0.422505396,0.42728,0.419173895
73,1.6950169,0.42532,0.420610646,0.42532,0.416089507
74,1.7066334,0.42748,0.422535122,0.42748,0.419523887
75,1.7153134,0.42574,0.420641451,0.42574,0.416986656
76,1.7075149,0.42772,0.421656585,0.42772,0.418644122
77,1.717089,0.4283,0.424381708,0.4283,0.420961497
78,1.6896697,0.43156,0.426636653,0.43156,0.424707658
79,1.7105595,0.42438,0.420259331,0.42438,0.416390249
80,1.7158611,0.42552,0.4212271,0.42552,0.419265551
81,1.702748,0.42914,0.425502277,0.42914,0.422658674
82,1.6978062,0.42958,0.426603546,0.42958,0.425398437
83,1.7095128,0.42796,0.42214624,0.42796,0.420880729
84,1.6907302,0.43258,0.426180351,0.43258,0.427003343
85,1.6863338,0.43508,0.432979727,0.43508,0.430905625
86,1.7242373,0.43524,0.433200695,0.43524,0.428900469
87,1.7021012,0.4332,0.429022814,0.4332,0.426925364
88,1.709078,0.43588,0.430846882,0.43588,0.429826777
89,1.6970198,0.43736,0.433274578,0.43736,0.432315054
90,1.6947112,0.43758,0.432326572,0.43758,0.430352443
91,1.6919796,0.43544,0.431943469,0.43544,0.425972464
92,1.6861728,0.43992,0.434670546,0.43992,0.432964881
93,1.6739187,0.44184,0.436321113,0.44184,0.433711423
94,1.679238,0.4422,0.436466674,0.4422,0.435372466
95,1.6890819,0.43922,0.438762407,0.43922,0.431149105
96,1.7124848,0.4375,0.433995072,0.4375,0.428131919
97,1.6937711,0.4418,0.43844298,0.4418,0.436379957
98,1.6880395,0.44414,0.441922625,0.44414,0.438269293
99,1.691711,0.44464,0.440493525,0.44464,0.437837601
100,1.6852229,0.44604,0.441645573,0.44604,0.439827895
