Round#,Training Loss,ACC,Pre,recall,f1-score
1,1.3002798,0.7559,0.795261807,0.7559,0.752736371
2,0.90505726,0.8745,0.876370254,0.8745,0.874666073
3,0.7763164,0.82404,0.822985408,0.82404,0.82244462
4,0.6723139,0.91446,0.914138264,0.91446,0.912892716
5,0.59063966,0.91446,0.914138264,0.91446,0.912892716
6,0.5229825,0.91446,0.914138264,0.91446,0.912892716
7,0.45230903,0.95586,0.955629377,0.95586,0.954972418
8,0.3933354,0.95586,0.955629377,0.95586,0.954972418
9,0.33894582,0.97572,0.975626617,0.97572,0.975288468
10,0.28807236,0.98004,0.98004848,0.98004,0.980036405
11,0.25414012,0.98004,0.98004848,0.98004,0.980036405
12,0.2100554,0.98004,0.98004848,0.98004,0.980036405
13,0.17808962,0.98004,0.98004848,0.98004,0.980036405
14,0.15449583,0.98004,0.98004848,0.98004,0.980036405
15,0.13153548,0.98004,0.98004848,0.98004,0.980036405
16,0.112859374,0.98004,0.98004848,0.98004,0.980036405
17,0.09174067,0.98004,0.98004848,0.98004,0.980036405
18,0.08088533,0.98004,0.98004848,0.98004,0.980036405
19,0.06462743,0.98004,0.98004848,0.98004,0.980036405
20,0.057565262,0.98004,0.98004848,0.98004,0.980036405
21,0.04736964,0.98004,0.98004848,0.98004,0.980036405
22,0.03870124,0.98004,0.98004848,0.98004,0.980036405
23,0.0349958,0.98108,0.981099805,0.98108,0.98107721
24,0.02857021,0.98324,0.983249341,0.98324,0.983237969
25,0.024058876,0.98484,0.984847636,0.98484,0.984839688
26,0.020701654,0.98582,0.985823648,0.98582,0.985820318
27,0.017652148,0.98706,0.987062565,0.98706,0.987060092
28,0.015811333,0.98766,0.987660586,0.98766,0.987660019
29,0.011614044,0.98836,0.988361691,0.98836,0.988360179
30,0.010976838,0.9887,0.988701421,0.9887,0.988700191
31,0.010229351,0.98872,0.988721291,0.98872,0.988720171
32,0.008330468,0.9892,0.989200339,0.9892,0.98920001
33,0.007470106,0.9892,0.989200766,0.9892,0.98920002
34,0.00683195,0.98934,0.989340527,0.98934,0.98934004
35,0.006121946,0.98956,0.989560303,0.98956,0.989559984
36,0.004758196,0.98976,0.98976004,0.98976,0.989759988
37,0.004853295,0.9896,0.989600375,0.9896,0.989599992
38,0.004138128,0.98976,0.989760072,0.98976,0.98976
39,0.003804135,0.98978,0.989780088,0.98978,0.989779998
40,0.003799604,0.98984,0.98984008,0.98984,0.989840004
41,0.003262646,0.9899,0.989900044,0.9899,0.989899994
42,0.003196528,0.9898,0.9898001,0.9898,0.989800008
43,0.002943118,0.98988,0.989880048,0.98988,0.989880002
44,0.00278871,0.98992,0.989920024,0.98992,0.989919998
45,0.002899995,0.9899,0.989900028,0.9899,0.989900002
46,0.002215832,0.9899,0.989900052,0.9899,0.9899
47,0.002213364,0.98994,0.989940012,0.98994,0.98994
48,0.002164413,0.98994,0.989940036,0.98994,0.98994
49,0.001979235,0.98988,0.98988004,0.98988,0.98988
50,0.001819334,0.98996,0.989960004,0.98996,0.98996
51,0.001869466,0.98996,0.989960016,0.98996,0.98996
52,0.001766066,0.98994,0.989940036,0.98994,0.98994
53,0.001663499,0.98996,0.989960016,0.98996,0.98996
54,0.001745009,0.98996,0.989960016,0.98996,0.98996
55,0.001634573,0.98996,0.989960016,0.98996,0.98996
56,0.001544792,0.98996,0.989960016,0.98996,0.98996
57,0.001589954,0.98998,0.989980004,0.98998,0.98998
58,0.001323509,0.98998,0.989980004,0.98998,0.98998
59,0.001440078,0.98998,0.989980004,0.98998,0.98998
60,0.001382294,0.98998,0.989980004,0.98998,0.98998
61,0.001325428,0.98998,0.989980004,0.98998,0.98998
62,0.001322403,0.99,0.99,0.99,0.99
63,0.001332513,0.99,0.99,0.99,0.99
64,0.00130035,0.99,0.99,0.99,0.99
65,0.001320993,0.99,0.99,0.99,0.99
66,0.001241995,0.99,0.99,0.99,0.99
67,0.001250046,0.99,0.99,0.99,0.99
68,0.001229388,0.99,0.99,0.99,0.99
69,0.00119325,0.99,0.99,0.99,0.99
70,0.001188268,0.99,0.99,0.99,0.99
71,0.00118082,0.99,0.99,0.99,0.99
72,0.001234624,0.99,0.99,0.99,0.99
73,0.001186669,0.99,0.99,0.99,0.99
74,0.001129246,0.99,0.99,0.99,0.99
75,0.001163052,0.99,0.99,0.99,0.99
76,0.001110342,0.99,0.99,0.99,0.99
77,0.001124854,0.99,0.99,0.99,0.99
78,0.001100457,0.99,0.99,0.99,0.99
79,0.001105481,0.99,0.99,0.99,0.99
80,0.00110577,0.99,0.99,0.99,0.99
81,0.00110022,0.99,0.99,0.99,0.99
82,1.09E-03,0.99,0.99,0.99,0.99
83,1.07E-03,0.99,0.99,0.99,0.99
84,1.08E-03,0.99,0.99,0.99,0.99
85,1.06E-03,0.99,0.99,0.99,0.99
86,1.07E-03,0.99,0.99,0.99,0.99
87,1.06E-03,0.99,0.99,0.99,0.99
88,1.08E-03,0.98998,0.989980004,0.98998,0.98998
89,1.07E-03,0.99,0.99,0.99,0.99
90,1.06E-03,0.99,0.99,0.99,0.99
91,1.06E-03,0.99,0.99,0.99,0.99
92,1.06E-03,0.99,0.99,0.99,0.99
93,1.05E-03,0.99,0.99,0.99,0.99
94,1.06E-03,0.99,0.99,0.99,0.99
95,1.06E-03,0.99,0.99,0.99,0.99
96,1.05E-03,0.99,0.99,0.99,0.99
97,1.05E-03,0.99,0.99,0.99,0.99
98,1.05E-03,0.99,0.99,0.99,0.99
99,1.03E-03,0.99,0.99,0.99,0.99
100,1.04E-03,0.99,0.99,0.99,0.99
