client#,Round#,Training Loss,ACC,Pre,Recall,f1-score
0,0,1.3585136,0.46796296296296297,0.4978072177338079,0.4682767051456486,0.43880567994843833
1,0,0.5032894,0.8296296296296296,0.8347182611905579,0.8319304939958478,0.8297694085241272
2,0,1.1890556,0.5392592592592592,0.5462967049025352,0.5395443747394643,0.5164167808865512
3,0,1.1573832,0.570925925925926,0.5752148605080055,0.5722309599707823,0.5649313453049789
4,0,1.6476852,0.3424074074074074,0.35095987022643527,0.3399101791232241,0.30702136208609077
5,0,1.268914,0.5246296296296297,0.5328282659965237,0.5249482408979296,0.5113675855426705
6,0,1.1686865,0.5611111111111111,0.5654034486426683,0.5643181312412651,0.5564371100953432
7,0,1.4119081,0.48444444444444446,0.4770949448369531,0.48762464376851467,0.4693214675174344
8,0,1.4241652,0.4701851851851852,0.4717042102767383,0.4687026679763406,0.4492490480279572
9,0,1.2212068,0.5612962962962963,0.5645981487648482,0.5558888727490816,0.55313432879555
0,1,0.5886563,0.7853703703703704,0.7842987262067005,0.7837866421284053,0.781730923688077
1,1,0.063066505,0.9827777777777778,0.9833325671337381,0.9828841509131152,0.9828744519611854
2,1,0.60693675,0.7774074074074074,0.7795742033419523,0.7762450875879211,0.77285603768972
3,1,0.5640464,0.8111111111111111,0.8220093582620687,0.8124446120521889,0.8140022663190128
4,1,1.1649798,0.5685185185185185,0.5521051132464831,0.5649535131896076,0.5442087520229937
5,1,0.6231032,0.774074074074074,0.7665089868480974,0.7739206940903582,0.7650013759473404
6,1,0.5703437,0.7998148148148149,0.8145701099987338,0.802128356869687,0.8033772500191869
7,1,0.8959026,0.6757407407407408,0.6890902216615218,0.6780696381996637,0.6712347843247276
8,1,0.90333426,0.6681481481481482,0.6878086881513644,0.6647074542283831,0.6623898157584955
9,1,0.7674065,0.7192592592592593,0.7204252900921397,0.716388657898998,0.7094372113935681
0,2,0.2266522,0.9120370370370371,0.918951934091746,0.9105801436879126,0.907422951429
1,2,0.010457862,0.9979629629629629,0.9980101760787097,0.9979645082672615,0.9979841039935046
2,2,0.2295152,0.9296296296296296,0.9300939795738217,0.9298789307722709,0.9290030698372547
3,2,0.16725115,0.9533333333333334,0.9538142762847259,0.9532397302681952,0.9532487007734869
4,2,0.75291216,0.7294444444444445,0.7283348982266991,0.7262923782432783,0.722618473024558
5,2,0.25350034,0.9151851851851852,0.9151367864149866,0.9152959169508593,0.91483054100303
6,2,0.26880354,0.9062962962962963,0.9201364164509578,0.9071632069348041,0.9059818577630587
7,2,0.43726984,0.8475925925925926,0.8533770581475169,0.8482870289103627,0.8486792223961629
8,2,0.4831175,0.8138888888888889,0.8244085086315239,0.8112480411079869,0.8090898752364604
9,2,0.3644469,0.8838888888888888,0.8858062802205394,0.8816310184335515,0.8820527790992674
0,3,0.07957555,0.9762962962962963,0.9769191455381536,0.9763956592652165,0.976089763910859
1,3,0.00440715,0.9992592592592593,0.9992626390678655,0.9992626976602779,0.9992621734661913
2,3,0.085792385,0.9751851851851852,0.9761087143307499,0.9759108802272827,0.9754310522608016
3,3,0.047208134,0.9898148148148148,0.9899420219125623,0.9898590942039933,0.989806693478228
4,3,0.43426785,0.8438888888888889,0.8483738881072609,0.8410732162975068,0.8393690788021985
5,3,0.097998045,0.9738888888888889,0.9741752305194517,0.974016675688447,0.9739087835385252
6,3,0.053308614,0.9879629629629629,0.9882524295404883,0.9881869484455971,0.9881896786596753
7,3,0.132579,0.9646296296296296,0.9652425139383635,0.9653051740324272,0.9651878188859438
8,3,0.1616473,0.9553703703703704,0.9543585610372134,0.9544043578252804,0.9542634189577252
9,3,0.11525573,0.9711111111111111,0.9708255337253572,0.9703179615990688,0.9704868614255908
0,4,0.026669484,0.9944444444444445,0.9945975399840205,0.9945311053340516,0.9944831596694808
