client#,Round#,Training Loss,ACC,Pre,Recall,f1-score
1,1,2.0964966,0.26015873015873014,0.43303564942823003,0.2628958872152339,0.2095135097677991
2,1,2.1133077,0.36904761904761907,0.3079276703145976,0.3735368584300308,0.28648908036692905
3,1,2.1186616,0.3080952380952381,0.3600237265373904,0.3041649068765715,0.26397749614473986
4,1,2.0982015,0.3493650793650794,0.2871642754392319,0.3471247086259887,0.2600405761374157
5,1,2.1032307,0.2661904761904762,0.45981847207548626,0.26289904856056595,0.2427247597578869
6,1,2.0922456,0.3,0.433558258145477,0.30382323621016205,0.25159259445488735
7,1,2.103432,0.27444444444444444,0.38570905697784214,0.26648003827806976,0.19560352801456565
8,1,2.096121,0.3136507936507936,0.4187407040909159,0.3066417427303498,0.201923275016747
9,1,2.0686657,0.39111111111111113,0.4070495505907947,0.39209546714223226,0.3658020524731785
10,1,2.0599034,0.46015873015873016,0.47346986027459137,0.45430515830723167,0.3903774965406669
1,2,1.9142874,0.5252380952380953,0.5466150182351561,0.5297286592832313,0.4512559266758869
2,2,1.8712002,0.5134920634920634,0.5409699535202612,0.5163246503310864,0.4391781475302129
3,2,1.8919696,0.45444444444444443,0.5381034566505117,0.4500147792539382,0.3775059834653967
4,2,1.846959,0.4384126984126984,0.5378130363456468,0.42961908666730253,0.34614456058177295
5,2,1.9210895,0.3980952380952381,0.4565443132904076,0.39088805857021136,0.2979663504773914
6,2,1.8446398,0.4649206349206349,0.5189820217342567,0.4594008315555487,0.40632486422427033
7,2,1.9075322,0.4688888888888889,0.4688347335302825,0.4641660721421085,0.3946633465443109
8,2,1.8638762,0.45650793650793653,0.5427125127091985,0.45573572787005984,0.3839060509817628
9,2,1.8772328,0.5001587301587301,0.5349805234984718,0.4991800491715783,0.4571347173279472
10,2,1.8221545,0.466984126984127,0.48349187723230036,0.46518521419973535,0.4062196236838448
1,3,1.60945,0.583015873015873,0.6329804870110423,0.5890343164938134,0.5302084552290487
2,3,1.6369861,0.5668253968253968,0.6003765550257016,0.5732496074457494,0.5080902184193019
3,3,1.6205053,0.516984126984127,0.4664136685007464,0.5075264302111108,0.43742761343843944
4,3,1.5524732,0.6014285714285714,0.6382357669284134,0.6007951316313087,0.559173384376291
5,3,1.65387,0.5134920634920634,0.5182376678749537,0.505902575756376,0.43692527225624145
6,3,1.648821,0.5449206349206349,0.5963921672470759,0.5459338609927871,0.49928635988398434
7,3,1.5963012,0.5519047619047619,0.5660731049576635,0.5525420315934851,0.49396754999909015
8,3,1.6207443,0.5144444444444445,0.595792160375096,0.514721790455494,0.4444792430673168
9,3,1.6183963,0.5684126984126984,0.6025773660169694,0.5704524075023691,0.5013404078862036
10,3,1.5746317,0.6268253968253968,0.6607560705573265,0.6217576874349514,0.6091183903181775
1,4,1.400346,0.5833333333333334,0.6348198276683487,0.5902362130124005,0.5213548465239228
2,4,1.3608311,0.6053968253968254,0.6042473805009055,0.6078177173078181,0.5679819489382051
3,4,1.3710923,0.573015873015873,0.6306862387622697,0.565378562274286,0.508006527694327
4,4,1.3603745,0.6304761904761905,0.632602864111876,0.6292878333398892,0.5699202375696292
5,4,1.4035966,0.6126984126984127,0.6345233794900123,0.6078847386343494,0.5743390972840455
6,4,1.3199085,0.6001587301587301,0.647885151979703,0.6022002943449134,0.5455097781491611
7,4,1.4028805,0.5622222222222222,0.631946977621609,0.5606218036158872,0.4921393904318513
8,4,1.4111941,0.6066666666666667,0.6103574896903698,0.6042292683344703,0.5540185174541177
9,4,1.405944,0.5876190476190476,0.6243779119346538,0.5885716504359431,0.5413363583123674
10,4,1.3885231,0.5801587301587302,0.6271041700470784,0.575453129967947,0.5201062033175493
1,5,1.2156873,0.6096825396825397,0.5943956965979205,0.6121930589393612,0.5667771077994943
2,5,1.1904452,0.6573015873015873,0.6667119555919535,0.661783759104475,0.6144677076838094
3,5,1.2355617,0.6177777777777778,0.6616664371514794,0.6123232177199953,0.5409816199370431
4,5,1.200435,0.6184126984126984,0.6233215955498379,0.6160876036476103,0.5700593694582905
5,5,1.2037734,0.6222222222222222,0.6279792267648193,0.6161073562974653,0.5732575265543223
6,5,1.1756443,0.6507936507936508,0.6675138324293576,0.65128081675634,0.6106401998124443
7,5,1.209006,0.6322222222222222,0.6596054592846547,0.631103394237044,0.6020288485824213
8,5,1.2001343,0.6223809523809524,0.6344194349024634,0.6191227171730361,0.5552469798548648
9,5,1.2283885,0.6341269841269841,0.6569488272111881,0.6385202810040738,0.6055933189363724
10,5,1.225253,0.6352380952380953,0.6410309313241505,0.6271381405844767,0.5709640960321625
1,6,1.0770032,0.6546031746031746,0.6580657038560352,0.6587696681682658,0.6380959325244164
2,6,1.0937392,0.69,0.6996238631873753,0.694047675412403,0.6848567188368897
3,6,1.1442578,0.6646031746031746,0.6637350574443921,0.6603821433946451,0.6469772223867248
4,6,1.0829318,0.6658730158730158,0.6718276289069686,0.6623575190771648,0.6418408034548043
5,6,1.0627894,0.669047619047619,0.6566832091223707,0.66360219947651,0.6280421910779548
6,6,1.1098372,0.6834920634920635,0.6697510067879917,0.6866983980600863,0.6622594091005742
7,6,1.0835203,0.6452380952380953,0.6759012516923865,0.6459688133493093,0.6130133222506648
8,6,1.0676856,0.6928571428571428,0.6860959340596405,0.6898619559715384,0.6572077771358932
9,6,1.0510265,0.6631746031746032,0.6866110282598024,0.664322962053603,0.6344889057336316
10,6,1.1223011,0.6741269841269841,0.68491888321646,0.6692268131596367,0.6284725788414958
