Round#,Training Loss,ACC,Pre,recall,f1-score
1,0.3206222,0.887516667,0.888787323,0.887516667,0.885536764
2,0.23662576,0.9136,0.91340069,0.9136,0.913242177
3,0.20554803,0.925533333,0.925394788,0.925533333,0.92525264
4,0.18415387,0.9351,0.934905938,0.9351,0.934871069
5,0.16550317,0.9421,0.942004618,0.9421,0.941951504
6,0.1520342,0.948266667,0.948172559,0.948266667,0.948036598
7,0.13503983,0.953233333,0.953149459,0.953233333,0.953062047
8,0.12464425,0.957316667,0.95725354,0.957316667,0.957169802
9,0.10957512,0.960966667,0.960947161,0.960966667,0.96080395
10,0.099631315,0.964766667,0.964709894,0.964766667,0.964674138
11,0.08706651,0.9686,0.968607424,0.9686,0.968510242
12,0.07734898,0.972016667,0.971971008,0.972016667,0.971931804
13,0.07131701,0.974616667,0.974605994,0.974616667,0.974541235
14,0.063767856,0.977383333,0.97738788,0.977383333,0.977326292
15,0.056985358,0.979333333,0.979337215,0.979333333,0.979304087
16,0.049725456,0.981716667,0.981732737,0.981716667,0.981676251
17,0.04563601,0.982916667,0.982963973,0.982916667,0.982852629
18,0.041933922,0.984633333,0.984679884,0.984633333,0.98458539
19,0.03601898,0.986566667,0.986578883,0.986566667,0.986544008
20,0.029785864,0.988783333,0.988781063,0.988783333,0.988771107
21,0.028180672,0.989466667,0.989473582,0.989466667,0.989453699
22,0.023709413,0.991033333,0.991035939,0.991033333,0.991029179
23,0.023081925,0.991283333,0.991291555,0.991283333,0.991274391
24,0.020694552,0.991516667,0.991528256,0.991516667,0.99151092
25,0.017449446,0.99305,0.993063208,0.99305,0.993039891
26,0.014806735,0.993966667,0.993967772,0.993966667,0.993965348
27,0.013441009,0.994633333,0.994636195,0.994633333,0.994631093
28,0.012858163,0.994866667,0.994876882,0.994866667,0.994864345
29,0.010522048,0.9955,0.995505478,0.9955,0.995498001
30,0.009488974,0.995933333,0.995938462,0.995933333,0.99593265
31,0.007961267,0.9966,0.996601034,0.9966,0.996599379
32,0.007401644,0.997,0.997002646,0.997,0.996999667
33,0.006772745,0.99705,0.997052286,0.99705,0.99704971
34,0.006009088,0.99745,0.997451312,0.99745,0.997449362
35,0.005544773,0.997383333,0.997384525,0.997383333,0.997383047
36,0.00496274,0.997683333,0.9976849,0.997683333,0.997683107
37,0.004851591,0.997633333,0.997635676,0.997633333,0.997633249
38,0.003991826,0.99805,0.998050688,0.99805,0.998049878
39,0.003866777,0.997866667,0.997868322,0.997866667,0.997866543
40,0.003301102,0.998283333,0.998283901,0.998283333,0.998283245
41,0.002916029,0.998333333,0.998333516,0.998333333,0.998333268
42,0.003038575,0.9984,0.998400573,0.9984,0.998399966
43,0.002464272,0.998483333,0.998483702,0.998483333,0.998483364
44,0.002448919,0.998433333,0.998433832,0.998433333,0.998433277
45,0.002291819,0.99845,0.998450649,0.99845,0.998449813
46,0.001876298,0.998716667,0.998716797,0.998716667,0.998716682
47,0.00191244,0.9986,0.998600141,0.9986,0.99859999
48,0.002133106,0.998516667,0.998516908,0.998516667,0.998516653
49,0.001617256,0.998816667,0.998816733,0.998816667,0.998816643
50,0.001211153,0.9989,0.998900006,0.9989,0.998899987
51,0.001204168,0.9989,0.998900003,0.9989,0.998899992
52,0.001303012,0.998883333,0.998883353,0.998883333,0.998883332
53,0.001115906,0.99895,0.99895,0.99895,0.998949999
54,0.001071475,0.998866667,0.998866722,0.998866667,0.998866665
55,0.001041724,0.998916667,0.998916689,0.998916667,0.998916668
56,0.000958614,0.998916667,0.998916689,0.998916667,0.998916665
57,0.000743248,0.998983333,0.998983336,0.998983333,0.998983333
58,0.000658775,0.998966667,0.998966672,0.998966667,0.998966667
59,0.000648685,0.998916667,0.998916703,0.998916667,0.998916668
60,0.000583792,0.998966667,0.998966672,0.998966667,0.998966665
61,0.00068388,0.998916667,0.998916736,0.998916667,0.998916672
62,0.00053558,0.998966667,0.998966672,0.998966667,0.998966665
63,0.000499173,0.998966667,0.998966669,0.998966667,0.998966667
64,0.000580478,0.998916667,0.998916694,0.998916667,0.998916669
65,0.000463354,0.998983333,0.998983336,0.998983333,0.998983333
66,0.000497329,0.998983333,0.998983336,0.998983333,0.998983333
67,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
68,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
69,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
70,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
71,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
72,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
73,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
74,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
75,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
76,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
77,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
78,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
79,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
80,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
81,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
82,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
83,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
84,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
85,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
86,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
87,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
88,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
89,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
90,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
91,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
92,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
93,0.000412642,0.998983333,0.998983336,0.998983333,0.998983333
