client#,Round#,Training Loss,ACC,Pre,Recall,f1-score
1,1,0.21888687,0.9198412698412698,0.921990538012486,0.9198028061491981,0.917235806473283
2,1,0.20594056,0.9231746031746032,0.9254096923268929,0.9237086831126433,0.9239667398962137
3,1,0.20979074,0.923968253968254,0.9240970704601468,0.9233550106268507,0.922513519269019
4,1,0.2010966,0.9295238095238095,0.9290481242644681,0.9289060887874342,0.9287277296168075
5,1,0.19309072,0.93,0.9322617287972438,0.9292107300954567,0.9300241222007678
6,1,0.20904921,0.9253968253968254,0.9266156142167784,0.925238108789826,0.9255302214819323
7,1,0.24919349,0.9101587301587302,0.9178775551932284,0.910469333280141,0.9069911942586149
8,1,0.22153382,0.9182539682539682,0.9198507781731594,0.9187258614783008,0.9172647243669623
9,1,0.20070335,0.9293650793650794,0.9298545364265168,0.9292301412963175,0.9290908543277757
10,1,0.20560923,0.9250793650793651,0.9304257635036285,0.9240200445115947,0.9244032046459314
1,2,0.12778418,0.957936507936508,0.9585299343607947,0.9576928803830794,0.9571729523066651
2,2,0.12592438,0.9606349206349206,0.9632129435596646,0.9602967842749461,0.960676642054579
3,2,0.13146292,0.953968253968254,0.9546641051747219,0.953549326985992,0.9535571522282966
4,2,0.12337464,0.9582539682539682,0.9589384797145737,0.958234783328006,0.957991897817927
5,2,0.13181975,0.9520634920634921,0.9544139435684889,0.9525933638580805,0.9521337254849056
6,2,0.12314085,0.9574603174603175,0.9583795122880682,0.9569369417755935,0.9565295632521356
7,2,0.15222637,0.9455555555555556,0.9507966588365628,0.9453127247866435,0.9441861044863401
8,2,0.13071968,0.9573015873015873,0.958665468603688,0.9576291630832621,0.9576336947965196
9,2,0.12897703,0.953968253968254,0.9577595546058205,0.9532865420575336,0.9539660954314868
10,2,0.099146545,0.9698412698412698,0.9698976512905613,0.9696006633781449,0.969634963152636
1,3,0.06787758,0.9812698412698413,0.9810371089324047,0.9809793588736635,0.9809427531547064
2,3,0.08044908,0.9742857142857143,0.975017332970104,0.9746621745564731,0.9743493534114537
3,3,0.08689352,0.9717460317460317,0.9734897275054074,0.97197263846181,0.9717504812497617
4,3,0.06721449,0.9793650793650793,0.9797146673369665,0.979123456472324,0.9791859058384317
5,3,0.062353346,0.981904761904762,0.9820426565868114,0.981688587824334,0.9816972553978702
6,3,0.06649563,0.9807936507936508,0.981552132021591,0.9805094629796143,0.9806277104182737
7,3,0.07130656,0.98,0.9801807086545503,0.9801909670875906,0.9800255009715866
