Round#,Training Loss,ACC,Pre,recall,f1-score
1,1.7577668,0.452133333,0.51170512,0.452133333,0.365820823
2,1.2693981,0.562666667,0.603828869,0.562666667,0.501210889
3,1.0978528,0.57915,0.59784204,0.57915,0.505578453
4,1.0973914,0.578116667,0.621888215,0.578116667,0.502116871
5,1.0538356,0.610833333,0.642193273,0.610833333,0.55265654
6,0.99884254,0.636333333,0.662291373,0.636333333,0.586960151
7,0.9871342,0.647733333,0.666128318,0.647733333,0.605411691
8,0.9786613,0.668483333,0.685847414,0.668483333,0.632659794
9,0.9194083,0.680083333,0.686392051,0.680083333,0.654835337
10,0.89493656,0.7013,0.703741111,0.7013,0.681712167
11,0.9127986,0.709933333,0.717515966,0.709933333,0.687005591
12,0.9857303,0.7116,0.722209663,0.7116,0.686824345
13,0.96569145,0.713416667,0.716663461,0.713416667,0.690278095
14,1.0019264,0.705833333,0.713927689,0.705833333,0.683113158
15,0.92117065,0.731483333,0.725493246,0.731483333,0.716620806
16,0.95347095,0.729433333,0.725016984,0.729433333,0.714565215
17,0.9770608,0.736233333,0.736292854,0.736233333,0.723802955
18,0.98232055,0.74405,0.742019515,0.74405,0.728640225
19,1.0501361,0.734233333,0.739369851,0.734233333,0.717821987
20,1.0235993,0.740516667,0.740861237,0.740516667,0.722145285
21,1.0236422,0.742233333,0.740652178,0.742233333,0.725672997
22,1.0120728,0.741033333,0.741323493,0.741033333,0.725548431
23,0.9412547,0.754366667,0.751378705,0.754366667,0.743511507
24,0.9505323,0.758366667,0.753144843,0.758366667,0.744954444
25,0.97724885,0.758516667,0.755438263,0.758516667,0.746836343
26,0.979307,0.75505,0.750759712,0.75505,0.740228197
27,0.9618781,0.75855,0.756774248,0.75855,0.748289083
28,0.980499,0.754916667,0.754759539,0.754916667,0.73949341
29,0.93171746,0.765066667,0.760404566,0.765066667,0.755651318
30,1.0012665,0.7655,0.765542897,0.7655,0.755856563
31,0.9726452,0.76475,0.763773657,0.76475,0.756253997
32,1.0313959,0.75955,0.758227932,0.75955,0.745930683
33,1.0389879,0.758333333,0.757028171,0.758333333,0.744518982
34,0.9862545,0.760516667,0.75755878,0.760516667,0.748587604
35,1.0251068,0.76205,0.761367988,0.76205,0.749449819
36,1.0459714,0.76295,0.761840095,0.76295,0.748132586
37,1.0500001,0.763516667,0.760860435,0.763516667,0.750903756
38,1.0622461,0.766066667,0.762908858,0.766066667,0.751831933
39,1.0070491,0.771333333,0.767155818,0.771333333,0.759409279
40,1.0571291,0.77025,0.770065981,0.77025,0.754093888
41,0.9637285,0.7789,0.773808227,0.7789,0.769298188
42,0.97370917,0.778633333,0.775824728,0.778633333,0.766195217
43,1.0821668,0.773216667,0.774198858,0.773216667,0.756896816
44,1.018246,0.7783,0.777010335,0.7783,0.763227093
45,1.01391,0.779566667,0.775563138,0.779566667,0.76885566
46,0.9662453,0.782683333,0.776858622,0.782683333,0.773870667
47,0.9500037,0.783633333,0.777281266,0.783633333,0.773221627
48,0.9908072,0.783233333,0.781486555,0.783233333,0.771168217
49,0.98691493,0.782466667,0.780613721,0.782466667,0.767302762
50,0.99664533,0.7836,0.780451059,0.7836,0.769730698
51,0.9533539,0.785083333,0.778999466,0.785083333,0.774116082
52,1.0634739,0.780166667,0.78122349,0.780166667,0.761086413
53,1.0029037,0.78145,0.779731607,0.78145,0.766929474
54,0.9966534,0.780066667,0.778178754,0.780066667,0.765603893
55,0.95453507,0.785333333,0.77950487,0.785333333,0.774542906
56,0.9533355,0.786766667,0.780156774,0.786766667,0.777666911
57,0.97346276,0.78595,0.779311411,0.78595,0.772422315
58,1.0189613,0.784166667,0.778322344,0.784166667,0.768973567
59,1.0193088,0.7864,0.778952059,0.7864,0.77267759
60,0.9662077,0.787516667,0.782682195,0.787516667,0.778493256
61,0.95712864,0.790533333,0.78565941,0.790533333,0.77884147
62,0.98286724,0.790083333,0.787530183,0.790083333,0.777601195
63,0.966975,0.78745,0.786306083,0.78745,0.773801637
64,0.9242389,0.794533333,0.789213409,0.794533333,0.78368533
65,0.92839247,0.793483333,0.79046262,0.793483333,0.783377119
66,0.9042876,0.7943,0.790732116,0.7943,0.784810629
67,0.923386,0.79505,0.790826478,0.79505,0.785222027
68,0.91328645,0.79385,0.790540069,0.79385,0.782982243
69,0.8799408,0.799983333,0.796458402,0.799983333,0.792143899
70,0.86684954,0.798783333,0.797464322,0.798783333,0.789338864
71,0.9228886,0.793783333,0.795645918,0.793783333,0.781736148
72,0.9017758,0.797733333,0.796821017,0.797733333,0.788372486
73,0.9242327,0.795783333,0.793554317,0.795783333,0.784505998
74,0.9336082,0.796616667,0.793254569,0.796616667,0.78556017
75,0.95665723,0.797033333,0.795436156,0.797033333,0.786089112
76,0.9419722,0.797383333,0.795269472,0.797383333,0.785783238
77,0.94243306,0.7958,0.795994241,0.7958,0.782510129
78,0.9445013,0.793183333,0.791909565,0.793183333,0.778694014
79,0.9467425,0.794683333,0.795120995,0.794683333,0.780937912
80,0.9432667,0.796383333,0.795192815,0.796383333,0.78233423
81,0.9804065,0.794816667,0.791954848,0.794816667,0.779362184
82,0.95717263,0.7958,0.79133454,0.7958,0.780949012
83,0.9215438,0.7983,0.792999523,0.7983,0.785989419
84,0.9417846,0.799716667,0.796079533,0.799716667,0.786898821
85,0.88743895,0.8033,0.79836851,0.8033,0.791889456
86,0.8950993,0.805433333,0.802655932,0.805433333,0.795532068
87,0.9188647,0.801433333,0.799615622,0.801433333,0.789274188
88,0.8999947,0.806,0.802328237,0.806,0.797176007
89,0.9369763,0.80175,0.798063889,0.80175,0.789029541
90,0.89612186,0.80495,0.799474447,0.80495,0.796322678
91,0.9375773,0.802033333,0.800036773,0.802033333,0.790117445
92,0.90996605,0.803033333,0.799635088,0.803033333,0.792356027
93,0.89612186,0.80495,0.799474447,0.80495,0.796322678
94,0.89612186,0.80495,0.799474447,0.80495,0.796322678
95,0.89612186,0.80495,0.799474447,0.80495,0.796322678
96,0.89612186,0.80495,0.799474447,0.80495,0.796322678
97,0.89612186,0.80495,0.799474447,0.80495,0.796322678
98,0.89612186,0.80495,0.799474447,0.80495,0.796322678
99,0.89612186,0.80495,0.799474447,0.80495,0.796322678
100,0.89612186,0.80495,0.799474447,0.80495,0.796322678
