Round#,Training Loss,ACC,Pre,recall,f1-score
1,1.737025152,0.457468506,0.51774324,0.457468506,0.370137509
2,1.254419202,0.569306134,0.61095405,0.569306134,0.507125177
3,1.084898137,0.58598397,0.604896576,0.58598397,0.511544279
4,1.084442181,0.584938444,0.629226496,0.584938444,0.50804185
5,1.04140034,0.618041166,0.649771154,0.618041166,0.559177887
6,0.987056198,0.643842066,0.670106411,0.643842066,0.593886281
7,0.975486016,0.655376586,0.673988632,0.655376586,0.612555549
8,0.967113097,0.676371436,0.693940413,0.676371436,0.64012518
9,0.908559282,0.688108316,0.694491477,0.688108316,0.662562394
10,0.884376309,0.70957534,0.712045256,0.70957534,0.689756371
11,0.902027577,0.718310546,0.725982654,0.718310546,0.695112257
12,0.974098682,0.71999688,0.730731737,0.71999688,0.694928872
13,0.954296291,0.721834984,0.72512009,0.721834984,0.698423377
14,0.990103668,0.714162166,0.722352036,0.714162166,0.691173893
15,0.910300836,0.740114836,0.734054066,0.740114836,0.725076932
16,0.942219993,0.738040646,0.733572184,0.738040646,0.722997085
17,0.965531483,0.744920886,0.74498111,0.744920886,0.73234383
18,0.970729168,0.75282979,0.750775345,0.75282979,0.73723818
19,1.037744494,0.742897286,0.748094415,0.742897286,0.726292286
20,1.011520828,0.749254764,0.7496034,0.749254764,0.730666599
21,1.011563222,0.750991686,0.749391874,0.750991686,0.734235938
22,1.000130341,0.749777526,0.75007111,0.749777526,0.734109902
23,0.930147895,0.763268194,0.760244974,0.763268194,0.752284943
24,0.939316019,0.767315394,0.762031952,0.767315394,0.753744906
25,0.965717314,0.767467164,0.764352435,0.767467164,0.755649012
26,0.967751177,0.76395959,0.759618677,0.76395959,0.74896289
27,0.950527938,0.76750089,0.765704184,0.76750089,0.757118894
28,0.968929112,0.763824684,0.763665702,0.763824684,0.748219432
29,0.920723194,0.774094454,0.76937734,0.774094454,0.764568004
30,0.989451555,0.7745329,0.774576303,0.7745329,0.76477567
31,0.961167987,0.77377405,0.772786186,0.77377405,0.765177794
32,1.019225428,0.76851269,0.767175022,0.76851269,0.754732665
33,1.026727843,0.767281666,0.765961103,0.767281666,0.753304306
34,0.974616697,0.769490764,0.766497974,0.769490764,0.757420938
35,1.01301054,0.77104219,0.77035213,0.77104219,0.758293327
36,1.033628937,0.77195281,0.770829808,0.77195281,0.756960551
37,1.037610099,0.772526164,0.769838588,0.772526164,0.75976442
38,1.049711596,0.775106254,0.771911183,0.775106254,0.76070355
39,0.995165921,0.780435066,0.776208257,0.780435066,0.768370308
40,1.044654977,0.77933895,0.77915276,0.77933895,0.762992196
41,0.952356504,0.78809102,0.782939164,0.78809102,0.778375907
42,0.962219402,0.787821206,0.78497946,0.787821206,0.775236321
43,1.069397232,0.782340624,0.783334405,0.782340624,0.765828198
44,1.006230697,0.78748394,0.786179057,0.78748394,0.772233173
45,1.001945862,0.788765554,0.784714783,0.788765554,0.777928157
46,0.954843605,0.791918996,0.786025554,0.791918996,0.783002341
47,0.938793656,0.792880206,0.786453185,0.792880206,0.782345642
48,0.979115675,0.792475486,0.790708096,0.792475486,0.780268002
49,0.975269334,0.791699774,0.789824963,0.791699774,0.776356935
50,0.984884915,0.79284648,0.789660381,0.79284648,0.77881352
51,0.942104324,0.794347316,0.78819166,0.794347316,0.783250652
52,1.050924908,0.789372634,0.790441927,0.789372634,0.770067233
53,0.991069436,0.79067111,0.78893244,0.79067111,0.775979242
54,0.98489289,0.789271454,0.787361263,0.789271454,0.774638019
55,0.943271556,0.794600266,0.788703027,0.794600266,0.783682512
56,0.942086141,0.796050514,0.789362624,0.796050514,0.786843381
57,0.961975899,0.79522421,0.788507286,0.79522421,0.781536898
58,1.006937557,0.793419834,0.787506548,0.793419834,0.778047455
59,1.007280956,0.79567952,0.788143693,0.79567952,0.781795186
60,0.954806449,0.796809364,0.791917845,0.796809364,0.787679476
61,0.945834522,0.799861626,0.794930191,0.799861626,0.788031799
62,0.971269407,0.799406316,0.796823039,0.799406316,0.786776889
63,0.955564695,0.79674191,0.795584495,0.79674191,0.782932496
64,0.913332881,0.803908826,0.798526127,0.803908826,0.792932817
65,0.917437439,0.802846436,0.799790079,0.802846436,0.792620969
66,0.893617006,0.80367274,0.800062755,0.80367274,0.794071394
67,0.912490045,0.80443159,0.80015823,0.80443159,0.794487647
68,0.90250967,0.80321743,0.799868442,0.80321743,0.792221433
69,0.869557499,0.809423136,0.805856611,0.809423136,0.801491197
70,0.856620715,0.808208976,0.806874401,0.808208976,0.798653063
71,0.911998515,0.803149976,0.80503454,0.803149976,0.790960635
72,0.891134846,0.807146586,0.806223505,0.807146586,0.797675281
73,0.913326754,0.805173576,0.802918258,0.805173576,0.793763169
74,0.922591623,0.806016744,0.802614973,0.806016744,0.79482978
75,0.945368675,0.806438326,0.804822303,0.806438326,0.795364964
76,0.930856928,0.806792456,0.804653652,0.806792456,0.79505548
77,0.93131235,0.80519044,0.805386973,0.80519044,0.791743749
78,0.933356185,0.802542896,0.801254098,0.802542896,0.787882603
79,0.935570939,0.804060596,0.804503423,0.804060596,0.790152979
80,0.932136153,0.805780656,0.80457609,0.805780656,0.791565774
81,0.968837703,0.804195504,0.801299915,0.804195504,0.788558658
82,0.945877993,0.80519044,0.800672288,0.80519044,0.79016421
83,0.910669583,0.80771994,0.802356917,0.80771994,0.795264094
84,0.930671542,0.809153324,0.805473271,0.809153324,0.796184227
85,0.87696717,0.81277894,0.807789258,0.81277894,0.801233752
86,0.884537128,0.814937446,0.812127272,0.814937446,0.804919346
87,0.908022097,0.810890246,0.809051086,0.810890246,0.798587623
88,0.889374763,0.8155108,0.81179571,0.8155108,0.806582684
