Round#,Training Loss,ACC,Pre,recall,f1-score
1,0.3205222,0.888516667,0.889787323,0.888516667,0.886536764
2,0.23652576,0.9146,0.91440069,0.9146,0.914242177
3,0.20544803,0.926533333,0.926394788,0.926533333,0.92625264
4,0.18405387,0.9361,0.935905938,0.9361,0.935871069
5,0.16540317,0.9431,0.943004618,0.9431,0.942951504
6,0.1519342,0.949266667,0.949172559,0.949266667,0.949036598
7,0.13493983,0.954233333,0.954149459,0.954233333,0.954062047
8,0.12454425,0.958316667,0.95825354,0.958316667,0.958169802
9,0.10947512,0.961966667,0.961947161,0.961966667,0.96180395
10,0.099531315,0.965766667,0.965709894,0.965766667,0.965674138
11,0.08696651,0.9696,0.969607424,0.9696,0.969510242
12,0.07724898,0.973016667,0.972971008,0.973016667,0.972931804
13,0.07121701,0.975616667,0.975605994,0.975616667,0.975541235
14,0.063667856,0.978383333,0.97838788,0.978383333,0.978326292
15,0.056885358,0.980333333,0.980337215,0.980333333,0.980304087
16,0.049625456,0.982716667,0.982732737,0.982716667,0.982676251
17,0.04553601,0.983916667,0.983963973,0.983916667,0.983852629
18,0.041833922,0.985633333,0.985679884,0.985633333,0.98558539
19,0.03591898,0.987566667,0.987578883,0.987566667,0.987544008
20,0.029685864,0.989783333,0.989781063,0.989783333,0.989771107
21,0.028080672,0.990466667,0.990473582,0.990466667,0.990453699
22,0.023609413,0.992033333,0.992035939,0.992033333,0.992029179
23,0.022981925,0.992283333,0.992291555,0.992283333,0.992274391
24,0.020594552,0.992516667,0.992528256,0.992516667,0.99251092
25,0.017349446,0.99405,0.994063208,0.99405,0.994039891
26,0.014706735,0.994966667,0.994967772,0.994966667,0.994965348
27,0.013341009,0.995633333,0.995636195,0.995633333,0.995631093
28,0.012758163,0.995866667,0.995876882,0.995866667,0.995864345
29,0.010422048,0.9965,0.996505478,0.9965,0.996498001
30,0.009388974,0.996933333,0.996938462,0.996933333,0.99693265
31,0.007861267,0.9976,0.997601034,0.9976,0.997599379
32,0.007301644,0.998,0.998002646,0.998,0.997999667
33,0.006672745,0.99805,0.998052286,0.99805,0.99804971
34,0.005909088,0.99845,0.998451312,0.99845,0.998449362
35,0.005444773,0.998383333,0.998384525,0.998383333,0.998383047
36,0.00486274,0.998683333,0.9986849,0.998683333,0.998683107
37,0.004751591,0.998633333,0.998635676,0.998633333,0.998633249
38,0.003891826,0.99905,0.999050688,0.99905,0.999049878
39,0.003766777,0.998866667,0.998868322,0.998866667,0.998866543
40,0.003201102,0.999283333,0.999283901,0.999283333,0.999283245
41,0.002816029,0.999333333,0.999333516,0.999333333,0.999333268
42,0.002938575,0.9994,0.999400573,0.9994,0.999399966
43,0.002364272,0.999483333,0.999483702,0.999483333,0.999483364
44,0.002348919,0.999433333,0.999433832,0.999433333,0.999433277
45,0.002191819,0.99945,0.999450649,0.99945,0.999449813
46,0.001776298,0.999716667,0.999716797,0.999716667,0.999716682
47,0.00181244,0.9996,0.999600141,0.9996,0.99959999
48,0.002033106,0.999516667,0.999516908,0.999516667,0.999516653
49,0.001517256,0.999816667,0.999816733,0.999816667,0.999816643
50,0.001111153,0.9999,0.999900006,0.9999,0.999899987
51,0.001104168,0.9999,0.999900003,0.9999,0.999899992
52,0.001203012,0.999883333,0.999883353,0.999883333,0.999883332
53,0.001015906,0.99995,0.99995,0.99995,0.999949999
54,0.000971475,0.999866667,0.999866722,0.999866667,0.999866665
55,0.000941724,0.999916667,0.999916689,0.999916667,0.999916668
56,0.000858614,0.999916667,0.999916689,0.999916667,0.999916665
57,0.000643248,0.999983333,0.999983336,0.999983333,0.999983333
58,0.000558775,0.999966667,0.999966672,0.999966667,0.999966667
59,0.000548685,0.999916667,0.999916703,0.999916667,0.999916668
60,0.000483792,0.999966667,0.999966672,0.999966667,0.999966665
61,0.00058388,0.999916667,0.999916736,0.999916667,0.999916672
62,0.00043558,0.999966667,0.999966672,0.999966667,0.999966665
63,0.000399173,0.999966667,0.999966669,0.999966667,0.999966667
64,0.000480478,0.999916667,0.999916694,0.999916667,0.999916669
65,0.000363354,0.999983333,0.999983336,0.999983333,0.999983333
66,0.000397329,0.999983333,0.999983336,0.999983333,0.999983333
67,0.000312642,0.999983333,0.999983336,0.999983333,0.999983333
68,0.000312642,0.999983333,0.999983336,0.999983333,0.999983333
69,0.000312642,0.999983333,0.999983336,0.999983333,0.999983333
70,0.000312642,0.999983333,0.999983336,0.999983333,0.999983333
71,0.000312642,0.999983333,0.999983336,0.999983333,0.999983333
72,0.000312642,0.999983333,0.999983336,0.999983333,0.999983333
73,0.000312642,0.999983333,0.999983336,0.999983333,0.999983333
74,0.000312642,0.999983333,0.999983336,0.999983333,0.999983333
75,0.000312642,0.999983333,0.999983336,0.999983333,0.999983333
76,0.000312642,0.999983333,0.999983336,0.999983333,0.999983333
77,0.000312642,0.999983333,0.999983336,0.999983333,0.999983333
78,0.000312642,0.999983333,0.999983336,0.999983333,0.999983333
79,0.000312642,0.999983333,0.999983336,0.999983333,0.999983333
80,0.000312642,0.999983333,0.999983336,0.999983333,0.999983333
81,0.000312642,0.999983333,0.999983336,0.999983333,0.999983333
82,0.000312642,0.999983333,0.999983336,0.999983333,0.999983333
83,0.000312642,0.999983333,0.999983336,0.999983333,0.999983333
