Round#,Training Loss,ACC,Pre,recall,f1-score
1,0.200219,0.9285555555555556,0.9310018584049191,0.9282735721597255,0.9278243532243369
2,0.087517746,0.9720317460317462,0.9725881002305667,0.97194151771729,0.9718793321105332
3,0.03263289,0.9904285714285714,0.9905955156575939,0.9903833853326958,0.9903942561711865
4,0.011592794,0.9970952380952381,0.9971366264881082,0.9970802568044702,0.9970982498806368
5,0.004199552,0.9991269841269842,0.999135254443301,0.9991405639391642,0.9991367546968808
6,0.0023408877,0.9992698412698413,0.999264958859109,0.9992869716292334,0.9992669323139195
7,0.0016334883,0.9994920634920635,0.999492356751972,0.9994896633536922,0.9994895077646007
8,0.00061972515,0.9997460317460318,0.9997470019526482,0.9997421776298652,0.9997442459078097
9,0.0006941789,0.9997936507936508,0.9997919919566011,0.9997961036266156,0.9997937197455935
10,0.00072545075,0.9998412698412699,0.9998390244667374,0.9998409941499581,0.9998398410044562
11,0.0018746495,0.9995873015873016,0.9995924107675449,0.9995854089549743,0.9995877269044587
12,0.00074262,0.9998412698412699,0.9998449745994084,0.9998353895759392,0.9998399224423278
13,0.00049503375,0.9998571428571429,0.9998552001605011,0.999855994552302,0.999855404885103
14,0.00051068375,0.9999365079365079,0.9999350385994703,0.9999348937033684,0.9999349001012255
15,0.001140346,0.9998888888888888,0.9998881676538334,0.9998883726851551,0.9998881418987864
16,0.0014027462,0.999825396825397,0.9998241466400775,0.9998230598495867,0.9998232771732422
17,0.0005118513,0.9999682539682538,0.999967733541504,0.9999686218726467,0.9999681523599296
18,0.00051517144,0.9999682539682538,0.9999682242424548,0.9999690312683518,0.9999686031212865
19,0.0014333982,0.9998888888888888,0.9998901984513633,0.9998874268622974,0.9998886731574798
20,0.00025596208,0.999984126984127,0.9999842519685039,0.9999835526315788,0.9999838893266789
21,0.000255962,0.999984126984127,0.999983388704319,0.9999848714069591,0.9999841174253365
22,0.0005118049,0.9999682539682538,0.9999679959854163,0.9999663857000813,0.9999671638914214
23,0.00076764775,0.9999523809523808,0.9999527707784738,0.9999517348502099,0.9999522147652836
24,1.192093e-07,1.0,1.0,1.0,1.0
25,1.192093e-07,1.0,1.0,1.0,1.0
26,0.00051180494,0.9999682539682538,0.9999678022649798,0.9999675570711377,0.999967653523694
27,0.00025596205,0.999984126984127,0.9999844236760126,0.9999842519685039,0.9999843255470857
28,1.192093e-07,1.0,1.0,1.0,1.0
29,0.00025596208,0.999984126984127,0.9999839228295819,0.9999843505477308,0.9999841240941441
30,0.00025596205,0.999984126984127,0.9999835526315788,0.9999842767295597,0.9999839017267114
31,0.00025596205,0.999984126984127,0.999985294117647,0.999983305509182,0.9999842874293903
32,0.0005118049,0.9999682539682538,0.9999686764128729,0.9999680692741302,0.9999683478114731
33,1.192093e-07,1.0,1.0,1.0,1.0
34,0.00051180477,0.9999682539682538,0.9999686028257457,0.9999673735725938,0.9999679368602787
35,1.192093e-07,1.0,1.0,1.0,1.0
36,0.00025596205,0.999984126984127,0.9999842022116903,0.9999840255591055,0.9999841012565442
37,1.192093e-07,1.0,1.0,1.0,1.0
38,1.192093e-07,1.0,1.0,1.0,1.0
39,1.192093e-07,1.0,1.0,1.0,1.0
40,0.00025596205,0.999984126984127,0.9999838187702265,0.9999836333878888,0.999983712825818
41,0.00025596208,0.999984126984127,0.9999827882960414,0.9999838969404188,0.999983328717845
42,1.192093e-07,1.0,1.0,1.0,1.0
43,0.00025596208,0.999984126984127,0.9999836601307189,0.9999847094801224,0.9999841722757077
44,1.192093e-07,1.0,1.0,1.0,1.0
45,0.0010234906,0.9999365079365079,0.9999366248743087,0.9999364611151778,0.9999364925977083
46,1.192093e-07,1.0,1.0,1.0,1.0
47,1.192093e-07,1.0,1.0,1.0,1.0
48,1.192093e-07,1.0,1.0,1.0,1.0
49,1.192093e-07,1.0,1.0,1.0,1.0
50,1.192093e-07,1.0,1.0,1.0,1.0
51,1.192093e-07,1.0,1.0,1.0,1.0
52,1.192093e-07,1.0,1.0,1.0,1.0
53,1.192093e-07,1.0,1.0,1.0,1.0
54,1.192093e-07,1.0,1.0,1.0,1.0
55,1.192093e-07,1.0,1.0,1.0,1.0
56,1.192093e-07,1.0,1.0,1.0,1.0
57,1.192093e-07,1.0,1.0,1.0,1.0
58,1.192093e-07,1.0,1.0,1.0,1.0
59,0.00025596208,0.999984126984127,0.9999836601307189,0.999984375,0.9999840047768309
60,1.192093e-07,1.0,1.0,1.0,1.0
61,1.192093e-07,1.0,1.0,1.0,1.0
62,1.192093e-07,1.0,1.0,1.0,1.0
63,1.192093e-07,1.0,1.0,1.0,1.0
64,1.192093e-07,1.0,1.0,1.0,1.0
65,1.192093e-07,1.0,1.0,1.0,1.0
66,1.192093e-07,1.0,1.0,1.0,1.0
67,1.192093e-07,1.0,1.0,1.0,1.0
68,1.192093e-07,1.0,1.0,1.0,1.0
69,1.192093e-07,1.0,1.0,1.0,1.0
70,1.192093e-07,1.0,1.0,1.0,1.0
71,1.192093e-07,1.0,1.0,1.0,1.0
72,1.192093e-07,1.0,1.0,1.0,1.0
73,1.192093e-07,1.0,1.0,1.0,1.0
74,1.192093e-07,1.0,1.0,1.0,1.0
75,1.192093e-07,1.0,1.0,1.0,1.0
76,1.192093e-07,1.0,1.0,1.0,1.0
77,1.192093e-07,1.0,1.0,1.0,1.0
78,1.192093e-07,1.0,1.0,1.0,1.0
79,1.192093e-07,1.0,1.0,1.0,1.0
80,1.192093e-07,1.0,1.0,1.0,1.0
81,1.192093e-07,1.0,1.0,1.0,1.0
82,1.192093e-07,1.0,1.0,1.0,1.0
83,1.192093e-07,1.0,1.0,1.0,1.0
84,1.192093e-07,1.0,1.0,1.0,1.0
85,1.192093e-07,1.0,1.0,1.0,1.0
86,1.192093e-07,1.0,1.0,1.0,1.0
87,1.192093e-07,1.0,1.0,1.0,1.0
88,1.192093e-07,1.0,1.0,1.0,1.0
89,1.192093e-07,1.0,1.0,1.0,1.0
90,1.192093e-07,1.0,1.0,1.0,1.0
91,1.192093e-07,1.0,1.0,1.0,1.0
92,1.192093e-07,1.0,1.0,1.0,1.0
93,1.192093e-07,1.0,1.0,1.0,1.0
94,1.192093e-07,1.0,1.0,1.0,1.0
95,1.192093e-07,1.0,1.0,1.0,1.0
96,1.192093e-07,1.0,1.0,1.0,1.0
97,1.192093e-07,1.0,1.0,1.0,1.0
98,1.192093e-07,1.0,1.0,1.0,1.0
99,1.192093e-07,1.0,1.0,1.0,1.0
100,1.192093e-07,1.0,1.0,1.0,1.0
