client#,Round#,Training Loss,ACC,Pre,Recall,f1-score
1,1,2.1923664,0.21666666666666667,0.26879936171431923,0.21878910842379287,0.17310617466623315
2,1,2.1306703,0.29349206349206347,0.43351742738903354,0.28974839440055167,0.23082402145155304
3,1,2.1485786,0.2665079365079365,0.28291790895059477,0.2650528327468492,0.21796127678482485
4,1,2.1520886,0.3465079365079365,0.32244876831146596,0.34280691377627465,0.28325904794141066
5,1,2.1305676,0.30126984126984124,0.389592615238792,0.29944326104753743,0.26833983363497704
6,1,2.1669748,0.2734920634920635,0.32378761348848994,0.27762198820497797,0.21476456065217642
7,1,2.138013,0.32317460317460317,0.3629873614772264,0.32351495135285874,0.27344918815770075
8,1,2.167271,0.23825396825396825,0.3362715168812419,0.2400253455973284,0.18686530301739834
9,1,2.1184008,0.32746031746031745,0.42130959593021566,0.32942535704360887,0.3195723219256922
10,1,2.1206663,0.3431746031746032,0.4163394148261224,0.3435380281388193,0.31559165698793146
1,2,1.9549985,0.5268253968253969,0.5335056320580049,0.5254416761439685,0.5154876404145706
2,2,1.9643886,0.49587301587301585,0.57304602430563,0.48426394134807893,0.4583855443947543
3,2,1.9416416,0.5225396825396825,0.6291736199246645,0.5150767138025532,0.5055824346863792
4,2,1.9903723,0.4893650793650794,0.5403430490960728,0.4800898087999429,0.4730201173878961
5,2,1.9661182,0.48698412698412696,0.5438778675748983,0.4854005539754575,0.47896080380386924
6,2,1.9376243,0.5611111111111111,0.557778151256285,0.5548789489797457,0.5191992920699773
7,2,1.9912275,0.4680952380952381,0.4829004927882695,0.4574292950960618,0.40981683527885326
8,2,1.961209,0.5280952380952381,0.5624009037075794,0.5214977608647573,0.5025045242645159
9,2,1.9638492,0.5255555555555556,0.5862949303203326,0.5152243098298072,0.4740190471728975
10,2,1.9468573,0.48444444444444446,0.5733869021426296,0.48278885390134463,0.47831126654279466
1,3,1.6955448,0.6361904761904762,0.6617943108288797,0.6269673763265773,0.613857346564881
2,3,1.726925,0.5966666666666667,0.6795283305611797,0.5839822775854406,0.5661693299304449
3,3,1.7454959,0.6153968253968254,0.6463141053068135,0.6100678433186915,0.6052725868623042
4,3,1.773036,0.6357142857142857,0.6389931185975104,0.6284775255011719,0.6220979906078099
5,3,1.701541,0.65,0.6684318546533304,0.6422807088162137,0.6363883075753511
6,3,1.735137,0.6452380952380953,0.6810938403662299,0.6393072281536891,0.620891585600228
7,3,1.7303747,0.6204761904761905,0.6070972481207775,0.6111862771252689,0.5790385992464074
8,3,1.740442,0.5780952380952381,0.6444619115184989,0.5654961144652073,0.546382902582778
