client#,Round#,Training Loss,ACC,Pre,Recall,f1-score
1,1,0.009381478,0.9982539682539683,0.9983667769344636,0.9983149272670359,0.9983347920782528
2,1,0.006821673,0.9992063492063492,0.9992002070028982,0.9992416192454261,0.9992198679840595
3,1,0.0068039545,0.9988888888888889,0.9988874642524077,0.9989093068782966,0.9988971287194766
4,1,0.0063597555,0.9992063492063492,0.999212441420885,0.9991999937675233,0.9992055884136566
5,1,0.0055765933,0.9996825396825397,0.999693860820275,0.9996669317955856,0.9996802610707224
6,1,0.0069022574,0.9993650793650793,0.9993658320957156,0.9993761256773392,0.9993706163565189
7,1,0.008274045,0.9988888888888889,0.9988453606745594,0.9989487032475843,0.998895070291779
8,1,0.008073679,0.9992063492063492,0.9992996564399034,0.9992107920338859,0.9992541799667041
9,1,0.0056935325,0.9993650793650793,0.9993806774943976,0.999389743364631,0.9993848643754928
10,1,0.007980309,0.9985714285714286,0.9985874770788661,0.9985827288871143,0.9985816536229981
1,2,0.0017762574,0.9998412698412699,0.9998561151079137,0.9998449612403102,0.9998504262405323
2,2,0.0015704485,0.9998412698412699,0.9998275862068965,0.9998405103668262,0.9998339102633403
3,2,0.0014186157,0.9996825396825397,0.9996918335901388,0.9996840442338073,0.9996874511642444
4,2,0.0011750608,1.0,1.0,1.0,1.0
5,2,0.0010082376,1.0,1.0,1.0,1.0
6,2,0.0015324617,0.9998412698412699,0.9998422712933754,0.999837925445705,0.9998399704009253
7,2,0.0012264788,1.0,1.0,1.0,1.0
8,2,0.003698177,0.9990476190476191,0.9990775736371802,0.9990375879878874,0.9990561887919673
9,2,0.001708567,0.9995238095238095,0.9995161299474631,0.9994914874551972,0.9995035480016478
10,2,0.0011285727,0.9998412698412699,0.9998357963875206,0.9998305084745762,0.999833013089237
1,3,0.0007333009,0.9998412698412699,0.9998405103668262,0.9998587570621469,0.9998495201622115
2,3,0.0010670171,1.0,1.0,1.0,1.0
3,3,0.0005224154,1.0,1.0,1.0,1.0
4,3,0.0006364335,1.0,1.0,1.0,1.0
5,3,0.0010438557,1.0,1.0,1.0,1.0
6,3,0.00029973392,1.0,1.0,1.0,1.0
7,3,0.0031099534,0.9988888888888889,0.9988221713943695,0.9988871056008242,0.9988508394341983
8,3,0.00037738078,1.0,1.0,1.0,1.0
9,3,0.0009382245,1.0,1.0,1.0,1.0
10,3,0.00040791632,1.0,1.0,1.0,1.0
1,4,0.0001758253,1.0,1.0,1.0,1.0
2,4,0.00048441364,1.0,1.0,1.0,1.0
3,4,0.00031572857,1.0,1.0,1.0,1.0
4,4,0.00036694595,1.0,1.0,1.0,1.0
5,4,0.00018797655,1.0,1.0,1.0,1.0
6,4,0.000678476,0.9998412698412699,0.9998191681735985,0.9998509687034277,0.9998349310469326
7,4,0.00013095542,1.0,1.0,1.0,1.0
8,4,0.0004208547,1.0,1.0,1.0,1.0
9,4,0.00013547021,1.0,1.0,1.0,1.0
10,4,0.0002633757,1.0,1.0,1.0,1.0
1,5,0.00013210486,1.0,1.0,1.0,1.0
2,5,0.0004466496,1.0,1.0,1.0,1.0
3,5,0.00011631692,1.0,1.0,1.0,1.0
4,5,0.00026463784,1.0,1.0,1.0,1.0
5,5,0.00018017091,1.0,1.0,1.0,1.0
6,5,0.00016830149,1.0,1.0,1.0,1.0
7,5,0.00052818557,1.0,1.0,1.0,1.0
8,5,0.0010996063,0.9996825396825397,0.9996779388083736,0.9996810207336523,0.9996789652684737
9,5,0.00012481397,1.0,1.0,1.0,1.0
10,5,0.0005082844,1.0,1.0,1.0,1.0
1,6,0.00033946295,1.0,1.0,1.0,1.0
2,6,0.00010167614,1.0,1.0,1.0,1.0
3,6,0.0006660593,0.9998412698412699,0.99983844911147,0.9998463901689707,0.9998422953054581
4,6,0.00014742833,1.0,1.0,1.0,1.0
5,6,0.0003190421,0.9998412698412699,0.9998233215547703,0.9998437499999999,0.9998333965873261
