Round#,Training Loss,ACC,Pre,recall,f1-score
1,2.0945053,0.365216667,0.444411581,0.352102151,0.291418428
2,1.6262956,0.61935,0.690217485,0.6091943,0.587543398
3,1.1095805,0.679766667,0.735033906,0.67157272,0.65290545
4,0.84863144,0.7276,0.762269459,0.720707474,0.709513862
5,0.70655334,0.76195,0.777998841,0.756653974,0.75211535
6,0.63932955,0.780366667,0.788475476,0.775480183,0.769588843
7,0.6229159,0.79535,0.805646104,0.78995017,0.78592421
8,0.5694879,0.818583333,0.821818032,0.814450031,0.813245792
9,0.5615312,0.824266667,0.826488615,0.820421777,0.819483124
10,0.5493017,0.835233333,0.837294148,0.831490666,0.831185401
11,0.5482316,0.8408,0.842352174,0.837457694,0.836812479
12,0.532751,0.849283333,0.851788751,0.845598201,0.845616485
13,0.5183907,0.856316667,0.860100709,0.853071636,0.853191558
14,0.5257889,0.85805,0.862631998,0.854733529,0.854955519
15,0.50564224,0.8666,0.867643183,0.863850153,0.864334853
16,0.517703,0.864866667,0.867947847,0.861921081,0.862456347
17,0.49669716,0.8728,0.873590951,0.870506785,0.870621146
18,0.4904937,0.875766667,0.876488964,0.873495644,0.873536452
19,0.5241747,0.871,0.872808428,0.868610251,0.869040273
20,0.5140739,0.877733333,0.878126185,0.875637057,0.875990042
21,0.53062,0.8768,0.877639094,0.874434248,0.874755188
22,0.5268517,0.880883333,0.880571395,0.878773441,0.878859873
23,0.53148234,0.8828,0.882864444,0.88086776,0.881199713
24,0.55543125,0.87975,0.880564788,0.877352409,0.877859066
25,0.54021835,0.884883333,0.885613463,0.882869144,0.883343834
26,0.5464261,0.885683333,0.886348415,0.883594123,0.883820814
27,0.52448946,0.88875,0.888491199,0.887029289,0.887107512
28,0.509882,0.892866667,0.892727947,0.891372443,0.891501571
29,0.51532745,0.892466667,0.892940729,0.891099224,0.891286545
30,0.5305533,0.892566667,0.892993118,0.89078907,0.891181738
31,0.51926684,0.8956,0.894712104,0.894357893,0.894212891
32,0.5226191,0.893616667,0.893276061,0.892030892,0.892277396
33,0.52723104,0.8939,0.89417017,0.892482439,0.892633521
34,0.5037669,0.897666667,0.897098931,0.89618817,0.896270966
35,0.52926475,0.89475,0.89510843,0.893187531,0.893360624
36,0.52519876,0.896183333,0.89623404,0.894987647,0.894798059
37,0.51069,0.89825,0.897672438,0.896896526,0.89686981
38,0.5392272,0.894,0.896044183,0.892154762,0.892696945
39,0.51903754,0.8989,0.898814006,0.897280464,0.897487579
40,0.5268287,0.89825,0.897842587,0.896799249,0.896898542
41,0.5324578,0.898716667,0.898645619,0.897449696,0.897493671
42,0.5195671,0.901316667,0.901150081,0.900108459,0.900100174
43,0.5065092,0.902866667,0.902574142,0.901629466,0.901755178
44,0.5223075,0.89945,0.899973374,0.897868663,0.898330341
45,0.4966368,0.90215,0.901909073,0.900714653,0.900937523
46,0.49795902,0.903066667,0.902844974,0.901704651,0.90184362
47,0.47984457,0.9067,0.906517564,0.905270757,0.90555063
48,0.48040634,0.90855,0.908150938,0.907149342,0.907321313
49,0.49984503,0.904983333,0.904394274,0.903426446,0.903547318
50,0.509768,0.904533333,0.905394199,0.902872315,0.903286716
51,0.5198417,0.904,0.905171051,0.902184205,0.90271995
52,0.5108258,0.907,0.906626456,0.905702692,0.905739794
53,0.50383896,0.9075,0.907662724,0.906186909,0.906420269
54,0.49366015,0.91175,0.911111185,0.910759029,0.910742292
55,0.49798882,0.911266667,0.910519988,0.91025881,0.910201665
56,0.49554592,0.911216667,0.910811366,0.910148825,0.910178591
57,0.50183874,0.91135,0.911380119,0.910059204,0.910263921
58,0.48609585,0.914466667,0.914025385,0.913677297,0.913555663
59,0.4865202,0.915616667,0.915035683,0.914614478,0.914589851
60,0.4657927,0.917266667,0.916606184,0.916282625,0.916231823
61,0.47024202,0.91695,0.916209626,0.916047315,0.915944174
62,0.47646263,0.915566667,0.915438365,0.914267845,0.914439084
63,0.47938105,0.9163,0.915747463,0.915208711,0.91523623
64,0.47693264,0.917133333,0.916551939,0.916156558,0.916197292
65,0.4899163,0.9156,0.915414323,0.914443327,0.91463742
66,0.48738772,0.91635,0.91614182,0.915386882,0.915537424
67,0.49667758,0.914916667,0.914879803,0.913612406,0.913963399
68,0.49055687,0.9172,0.916943429,0.915936239,0.916191416
69,0.49108568,0.917066667,0.916768978,0.916151861,0.916172096
70,0.4739076,0.91945,0.919060633,0.918534499,0.918632653
71,0.4911049,0.916066667,0.915642876,0.915312088,0.915254118
72,0.4741049,0.918783333,0.918446624,0.917881179,0.917989451
73,0.47513914,0.919466667,0.918952852,0.918619821,0.91859102
74,0.46314633,0.920366667,0.920059748,0.919410043,0.919549608
75,0.47354388,0.920616667,0.920583662,0.919592756,0.919813893
76,0.4657962,0.921816667,0.921349211,0.920875792,0.920888673
77,0.46442178,0.922733333,0.921945627,0.921990075,0.921757959
78,0.46560648,0.920516667,0.920173503,0.919737592,0.919750141
79,0.47076002,0.921083333,0.920692861,0.920250266,0.920238584
80,0.47898382,0.91995,0.920003094,0.918954926,0.919202465
81,0.47100806,0.923033333,0.922529047,0.92234051,0.92227479
82,0.49045238,0.921733333,0.921448895,0.921000297,0.920981305
83,0.48030242,0.922433333,0.921957147,0.921608931,0.921633041
84,0.47192028,0.923266667,0.923042134,0.922357706,0.922502746
85,0.46319786,0.92425,0.923800078,0.923562672,0.92354881
86,0.47698018,0.9239,0.923510367,0.923166391,0.923102479
87,0.4858232,0.923066667,0.922666068,0.9222865,0.922172818
88,0.47559667,0.9243,0.923698077,0.92374211,0.923449787
89,0.47056,0.925333333,0.924914263,0.924894221,0.924660739
90,0.4578253,0.927133333,0.926634287,0.926497404,0.926500343
91,0.46348435,0.926066667,0.925635825,0.9253471,0.925353106
92,0.45207083,0.927633333,0.927351722,0.926884968,0.926976887
93,0.4603232,0.925766667,0.925430471,0.924971361,0.925092152
94,0.45872122,0.9248,0.924469286,0.924087618,0.924169522
95,0.4562329,0.925883333,0.925696296,0.925200423,0.925328535
96,0.4545181,0.926433333,0.925997692,0.925734515,0.925677897
97,0.45086575,0.92685,0.926474099,0.926061609,0.926132832
98,0.4712388,0.9248,0.924529075,0.924008898,0.924080313
99,0.4622431,0.927666667,0.927133306,0.927079005,0.926995549
100,0.45433623,0.927283333,0.926760578,0.9266675,0.926568054
