Round#,Training Loss,ACC,Pre,recall,f1-score
1,2.069790137,0.369526224,0.449655638,0.356256956,0.294857165
2,1.607105312,0.62665833,0.698362051,0.616382793,0.59447641
3,1.09648745,0.687787914,0.743707306,0.679497278,0.660609734
4,0.838617589,0.73618568,0.771264239,0.729211822,0.717886126
5,0.698216011,0.77094101,0.787179227,0.765582491,0.760990311
6,0.631785461,0.789574994,0.797779487,0.784630849,0.778669991
7,0.615565492,0.80473513,0.815152728,0.799271582,0.795198116
8,0.562767943,0.828242616,0.831515485,0.824060541,0.822842092
9,0.554905132,0.833993014,0.836241181,0.830102754,0.829153025
10,0.54281994,0.845089086,0.847174219,0.841302256,0.840993389
11,0.541762467,0.85072144,0.85229193,0.847339695,0.846686866
12,0.526464538,0.859304876,0.861839858,0.85557626,0.85559476
13,0.51227369,0.866421204,0.870249897,0.863137881,0.863259218
14,0.519584591,0.86817499,0.872811056,0.864819385,0.865043994
15,0.499675662,0.87682588,0.877881373,0.874043585,0.874534004
16,0.511594105,0.875072094,0.878189632,0.87209175,0.872633332
17,0.490836134,0.88309904,0.883899324,0.880778765,0.880894476
18,0.484705874,0.886100714,0.886831534,0.883802893,0.883844182
19,0.517989439,0.8812778,0.883107567,0.878859852,0.879294948
20,0.508007828,0.888090586,0.888488074,0.885969574,0.886326724
21,0.524358684,0.88714624,0.887995235,0.884752572,0.885077299
22,0.52063485,0.891277756,0.890962137,0.889142968,0.88923042
23,0.525210848,0.89321704,0.893282244,0.891262,0.89159787
24,0.548877161,0.89013105,0.890955452,0.887705167,0.888217803
25,0.533843773,0.895324956,0.896063702,0.893287,0.893767291
26,0.539978272,0.896134396,0.896807326,0.894020534,0.8942499
27,0.518300484,0.89923725,0.898975395,0.897496235,0.897575381
28,0.503865392,0.903402494,0.903262137,0.901890638,0.90202129
29,0.509246586,0.902997774,0.90347743,0.901614195,0.901803726
30,0.524292771,0.903098954,0.903530437,0.901300381,0.901697683
31,0.513139491,0.90616808,0.905269707,0.904911316,0.904764603
32,0.516452195,0.904161344,0.903816719,0.902556857,0.902806269
33,0.521009714,0.90444802,0.904721378,0.903013732,0.903166597
34,0.497822451,0.908259134,0.907684698,0.90676319,0.906846963
35,0.523019426,0.90530805,0.905670709,0.903727144,0.903902279
36,0.519001415,0.906758296,0.906809602,0.905548501,0.905356676
37,0.504663858,0.90884935,0.908264973,0.907479905,0.907452874
38,0.532864319,0.9045492,0.906617504,0.902682188,0.903230769
39,0.512912897,0.90950702,0.909420011,0.907868373,0.908077932
40,0.520612121,0.90884935,0.90843713,0.90738148,0.907481945
41,0.526174798,0.909321524,0.909249637,0.908039602,0.908084096
42,0.513436208,0.911952204,0.911783652,0.910729739,0.910721356
43,0.500532391,0.913520494,0.913224517,0.912268694,0.912395889
44,0.516144272,0.91006351,0.91059306,0.908463513,0.908930639
45,0.490776486,0.91279537,0.9125516,0.911343086,0.911568586
46,0.492083104,0.913722854,0.913498545,0.912344766,0.912485375
47,0.474182404,0.91739906,0.917214471,0.915952952,0.916236127
48,0.474737545,0.91927089,0.918867119,0.917853704,0.918027704
49,0.493946859,0.915662136,0.915066126,0.914086878,0.914209176
50,0.503752738,0.915206826,0.916077851,0.913526208,0.913945499
51,0.513707568,0.9146672,0.915852069,0.912829979,0.913372045
52,0.504798056,0.9177026,0.917324648,0.916389984,0.916427524
53,0.49789366,0.9182085,0.918373144,0.916879915,0.917116028
54,0.48783496,0.92250865,0.921862297,0.921505986,0.921489051
55,0.492112552,0.922019614,0.921264124,0.920999864,0.920942045
56,0.489698478,0.921969024,0.92155894,0.920888581,0.920918698
57,0.495917043,0.92210393,0.922134404,0.920797903,0.921005035
58,0.480359919,0.925257374,0.924810885,0.924458689,0.92433562
59,0.480779262,0.926420944,0.925833104,0.925406929,0.925382011
60,0.460296346,0.928090414,0.927422137,0.92709476,0.927043359
61,0.464693164,0.92777001,0.9270209,0.926856673,0.926752315
62,0.470840371,0.926370354,0.926240538,0.925056206,0.925229465
63,0.473724354,0.92711234,0.926553283,0.926008174,0.926036018
64,0.471304835,0.927955506,0.927367252,0.926967205,0.92700842
65,0.484135288,0.92640408,0.926216212,0.925233758,0.925430142
66,0.481636545,0.92716293,0.926952293,0.926188447,0.926340766
67,0.490816785,0.925712684,0.925675385,0.924393032,0.924748167
68,0.484768299,0.92802296,0.927763361,0.926744287,0.927002475
69,0.485290869,0.927888054,0.927586852,0.926962453,0.926982927
70,0.46831549,0.93029951,0.929905548,0.929373206,0.929472518
71,0.485309862,0.926876254,0.926447462,0.926112771,0.926054117
72,0.468510462,0.929624976,0.929284294,0.928712177,0.928821727
73,0.469532498,0.930316374,0.929796496,0.929459535,0.929430394
74,0.457681203,0.931226994,0.930916453,0.930259082,0.930400293
75,0.467956062,0.931479944,0.931446549,0.930443951,0.930667697
76,0.460299805,0.932694104,0.932221132,0.931742126,0.931755159
77,0.458941603,0.933621586,0.932824585,0.932869558,0.932634703
78,0.460112324,0.931378764,0.93103155,0.930590496,0.930603193
79,0.465205052,0.931952116,0.931557037,0.931109219,0.931097399
80,0.473331811,0.93080541,0.930859131,0.929798594,0.930049054
81,0.465450165,0.933925126,0.93341489,0.933224128,0.933157633
82,0.484665042,0.932609786,0.932321992,0.931868101,0.931848884
83,0.474634851,0.933318046,0.932836241,0.932483916,0.932508311
84,0.466351621,0.934161214,0.933934031,0.933241527,0.933388278
85,0.457732125,0.93515615,0.934700919,0.934460712,0.934446686
86,0.471351814,0.93480202,0.934407789,0.934059754,0.933995088
87,0.480090486,0.933958854,0.933553528,0.933169481,0.933054457
88,0.469984629,0.93520674,0.934597714,0.934642267,0.934346494
89,0.465007392,0.936252266,0.935828251,0.935807973,0.935571736
90,0.452422961,0.938073506,0.937568572,0.937430073,0.937433047
91,0.458015235,0.936994254,0.936558328,0.936266196,0.936272273
92,0.446736394,0.938579406,0.938294472,0.937822211,0.937915214
93,0.454891386,0.936690714,0.936350551,0.935886023,0.936008239
94,0.45330831,0.93571264,0.935378024,0.934991852,0.935074722
95,0.450849352,0.936808756,0.936619512,0.936117788,0.936247412
96,0.449154786,0.937365246,0.936924465,0.936658182,0.936600896
97,0.445545534,0.93778683,0.937406493,0.936989136,0.937061199
98,0.465678182,0.93571264,0.935438518,0.934912203,0.934984461
