Round#,Training Loss,ACC,Pre,recall,f1-score
1,0.493331811,0.95080541,0.950859131,0.949798594,0.950049054
2,0.485450165,0.953925126,0.95341489,0.953224128,0.953157633
3,0.504665042,0.952609786,0.952321992,0.951868101,0.951848884
4,0.394634851,0.953318046,0.952836241,0.952483916,0.952508311
5,0.386351621,0.954161214,0.953934031,0.953241527,0.953388278
6,0.277732125,0.95515615,0.954700919,0.954460712,0.954446686
7,0.291351814,0.95480202,0.954407789,0.954059754,0.953995088
8,0.100090486,0.953958854,0.953553528,0.953169481,0.953054457
9,0.089984629,0.95520674,0.954597714,0.954642267,0.954346494
10,0.085007392,0.956252266,0.955828251,0.955807973,0.955571736
11,0.072422961,0.958073506,0.957568572,0.957430073,0.957433047
12,0.078015235,0.956994254,0.956558328,0.956266196,0.956272273
13,0.066736394,0.958579406,0.958294472,0.957822211,0.957915214
14,0.004891386,0.956690714,0.956350551,0.955886023,0.956008239
15,0.004891386,0.95571264,0.955378024,0.954991852,0.955074722
16,0.004891386,0.956808756,0.956619512,0.956117788,0.956247412
17,0.004891386,0.957365246,0.956924465,0.956658182,0.956600896
18,0.004891386,0.95778683,0.957406493,0.956989136,0.957061199
19,0.004891386,0.95571264,0.955438518,0.954912203,0.954984461
20,0.004891386,0.958613134,0.958073479,0.958018537,0.957934096
21,0.074891386,0.958225276,0.957696353,0.957602177,0.957501557
22,0.000594125,0.999783333,0.999788333,0.99978502,0.999786665
23,0.000484011,0.999866667,0.999870331,0.999869701,0.999869991
24,0.000424317,0.999866667,0.999865473,0.999864181,0.999864823
25,0.000338337,0.99985,0.999850903,0.999850134,0.999850512
26,0.000227814,0.999933333,0.99993414,0.999934797,0.999934465
27,0.000307545,0.999916667,0.99991569,0.999918138,0.999916912
28,0.000163033,0.999966667,0.999968862,0.999965592,0.999967224
29,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
30,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
31,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
32,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
33,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
34,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
35,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
36,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
37,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
38,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
39,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
40,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
41,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
42,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
43,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
44,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
45,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
46,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
47,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
48,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
49,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
50,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
51,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
52,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
53,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
54,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
55,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
56,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
57,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
58,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
59,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
60,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
61,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
62,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
63,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
64,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
65,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
66,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
67,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
68,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
69,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
70,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
71,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
72,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
73,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
74,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
75,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
76,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
77,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
78,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
79,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
80,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
81,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
82,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
83,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
84,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
85,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
86,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
87,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
88,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
89,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
90,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
91,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
92,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
93,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
94,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
95,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
96,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
97,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
98,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
99,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
100,0.00015418,0.999966667,0.999966578,0.999964744,0.999965658
