Round#,Training Loss,ACC,Pre,recall,f1-score
1,0.007917867,0.9984126984126984,0.9984070099967797,0.9984196935422001,0.9984115471693483
2,0.001595238,0.9998095238095239,0.9998127404328503,0.9998113026520746,0.9998119141402524
3,0.00031089046,1.0,1.0,1.0,1.0
4,7.891074e-05,1.0,1.0,1.0,1.0
5,0.00012287316,0.9999682539682538,0.9999676626669803,0.9999661973117726,0.9999669026042325
6,3.6067977e-05,1.0,1.0,1.0,1.0
7,4.7791294e-05,0.999984126984127,0.9999823008849557,0.9999835796387521,0.999982925677205
8,4.310492e-05,0.999984126984127,0.999984496124031,0.9999849624060151,0.9999847175936223
9,4.188923e-05,0.9999682539682538,0.9999690862526995,0.9999704371299198,0.9999697387630668
10,2.325849e-05,0.999984126984127,0.9999828473413379,0.9999824253075571,0.9999826212342547
11,1.4133616e-07,1.0,1.0,1.0,1.0
12,7.372623e-05,0.999984126984127,0.999984984984985,0.9999830508474578,0.999984005087784
13,1.192093e-07,1.0,1.0,1.0,1.0
14,1.192093e-07,1.0,1.0,1.0,1.0
15,1.1965399e-07,1.0,1.0,1.0,1.0
16,1.192093e-07,1.0,1.0,1.0,1.0
17,1.192093e-07,1.0,1.0,1.0,1.0
18,1.192093e-07,1.0,1.0,1.0,1.0
19,1.192093e-07,1.0,1.0,1.0,1.0
20,1.192093e-07,1.0,1.0,1.0,1.0
21,1.192093e-07,1.0,1.0,1.0,1.0
22,1.192093e-07,1.0,1.0,1.0,1.0
23,1.192093e-07,1.0,1.0,1.0,1.0
24,1.192093e-07,1.0,1.0,1.0,1.0
25,1.192093e-07,1.0,1.0,1.0,1.0
26,1.192093e-07,1.0,1.0,1.0,1.0
27,1.192093e-07,1.0,1.0,1.0,1.0
28,1.192093e-07,1.0,1.0,1.0,1.0
29,1.192093e-07,1.0,1.0,1.0,1.0
30,1.192093e-07,1.0,1.0,1.0,1.0
31,1.192093e-07,1.0,1.0,1.0,1.0
32,1.192093e-07,1.0,1.0,1.0,1.0
33,1.192093e-07,1.0,1.0,1.0,1.0
34,1.192093e-07,1.0,1.0,1.0,1.0
35,1.192093e-07,1.0,1.0,1.0,1.0
36,1.192093e-07,1.0,1.0,1.0,1.0
37,1.192093e-07,1.0,1.0,1.0,1.0
38,1.192093e-07,1.0,1.0,1.0,1.0
39,1.192093e-07,1.0,1.0,1.0,1.0
40,1.192093e-07,1.0,1.0,1.0,1.0
41,1.192093e-07,1.0,1.0,1.0,1.0
42,1.192093e-07,1.0,1.0,1.0,1.0
43,1.192093e-07,1.0,1.0,1.0,1.0
44,1.192093e-07,1.0,1.0,1.0,1.0
45,1.192093e-07,1.0,1.0,1.0,1.0
46,1.192093e-07,1.0,1.0,1.0,1.0
47,1.192093e-07,1.0,1.0,1.0,1.0
48,1.192093e-07,1.0,1.0,1.0,1.0
49,1.192093e-07,1.0,1.0,1.0,1.0
50,1.192093e-07,1.0,1.0,1.0,1.0
51,1.192093e-07,1.0,1.0,1.0,1.0
52,1.192093e-07,1.0,1.0,1.0,1.0
53,1.192093e-07,1.0,1.0,1.0,1.0
54,1.192093e-07,1.0,1.0,1.0,1.0
55,1.192093e-07,1.0,1.0,1.0,1.0
56,1.192093e-07,1.0,1.0,1.0,1.0
57,1.192093e-07,1.0,1.0,1.0,1.0
58,1.192093e-07,1.0,1.0,1.0,1.0
59,1.192093e-07,1.0,1.0,1.0,1.0
60,1.192093e-07,1.0,1.0,1.0,1.0
61,1.192093e-07,1.0,1.0,1.0,1.0
62,1.192093e-07,1.0,1.0,1.0,1.0
63,1.192093e-07,1.0,1.0,1.0,1.0
64,1.192093e-07,1.0,1.0,1.0,1.0
65,1.192093e-07,1.0,1.0,1.0,1.0
66,1.192093e-07,1.0,1.0,1.0,1.0
67,1.192093e-07,1.0,1.0,1.0,1.0
68,1.192093e-07,1.0,1.0,1.0,1.0
69,1.192093e-07,1.0,1.0,1.0,1.0
70,1.192093e-07,1.0,1.0,1.0,1.0
71,1.192093e-07,1.0,1.0,1.0,1.0
72,1.192093e-07,1.0,1.0,1.0,1.0
73,1.192093e-07,1.0,1.0,1.0,1.0
74,1.192093e-07,1.0,1.0,1.0,1.0
75,1.192093e-07,1.0,1.0,1.0,1.0
76,1.192093e-07,1.0,1.0,1.0,1.0
77,1.192093e-07,1.0,1.0,1.0,1.0
78,1.192093e-07,1.0,1.0,1.0,1.0
79,1.192093e-07,1.0,1.0,1.0,1.0
80,1.192093e-07,1.0,1.0,1.0,1.0
81,1.192093e-07,1.0,1.0,1.0,1.0
82,1.192093e-07,1.0,1.0,1.0,1.0
83,1.192093e-07,1.0,1.0,1.0,1.0
84,1.192093e-07,1.0,1.0,1.0,1.0
85,1.192093e-07,1.0,1.0,1.0,1.0
86,1.192093e-07,1.0,1.0,1.0,1.0
87,1.192093e-07,1.0,1.0,1.0,1.0
88,1.192093e-07,1.0,1.0,1.0,1.0
89,1.192093e-07,1.0,1.0,1.0,1.0
90,1.192093e-07,1.0,1.0,1.0,1.0
91,1.192093e-07,1.0,1.0,1.0,1.0
92,1.192093e-07,1.0,1.0,1.0,1.0
93,1.192093e-07,1.0,1.0,1.0,1.0
94,1.192093e-07,1.0,1.0,1.0,1.0
95,1.192093e-07,1.0,1.0,1.0,1.0
96,1.192093e-07,1.0,1.0,1.0,1.0
97,1.192093e-07,1.0,1.0,1.0,1.0
98,1.192093e-07,1.0,1.0,1.0,1.0
99,1.192093e-07,1.0,1.0,1.0,1.0
100,1.192093e-07,1.0,1.0,1.0,1.0
